frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z
0,36.0490,-2.48246,2.07522,-2.48246,0.069367,0.74925,0.00000,-2.48246,-2.48246
1,18.0170,-2.45979,1.97322,-2.45979,0.106920,3.67938,0.00000,-2.45059,-2.45059
2,55.9770,-2.43639,1.86150,-2.43639,0.116523,1.69431,0.00000,-2.42039,-2.42039
3,11.7160,-2.38302,1.59620,-2.38302,0.275819,1.30569,0.00000,-2.36165,-2.36165
4,0.9820,-2.37471,1.55404,-2.37471,0.043770,2.25000,0.00000,-2.36165,-2.36165
5,0.5060,-2.37404,1.55065,-2.37404,0.003519,0.29163,0.00000,-2.36165,-2.36165
6,2.8450,-2.37047,1.53253,-2.37047,0.018810,0.02345,0.00000,-2.36165,-2.36165
7,21.1810,-2.35953,1.47697,-2.35953,0.057671,0.12533,0.00000,-2.33848,-2.33848
8,16.6630,-2.33611,1.35713,-2.33611,0.124341,0.37799,0.00000,-2.31352,-2.31352
9,15.6230,-2.31088,1.22723,-2.31088,0.134710,0.75294,0.00000,-2.28677,-2.28677
10,33.2260,-2.28413,1.09678,-2.28413,0.135823,0.75281,0.00000,-2.25822,-2.25822
11,4.8240,-2.24692,1.04085,-2.24692,0.076790,0.74524,0.00000,-2.22710,-2.22710
12,11.5770,-2.21968,1.04085,-2.21968,0.038533,0.95292,0.00000,-2.19339,-2.19339
13,16.9270,-2.18994,1.04085,-2.18994,0.042053,0.64286,0.00000,-2.15711,-2.15711
14,17.3920,-2.15355,1.04085,-2.15341,0.051559,0.65625,0.00000,-2.11968,-2.11824
15,18.2920,-2.11617,1.04085,-2.11435,0.054071,0.74992,0.00000,-2.08230,-2.07682
16,14.0800,-2.07884,1.04085,-2.07275,0.055890,0.74920,0.00000,-2.04496,-2.03285
17,16.8200,-2.04143,1.04085,-2.02845,0.057984,0.74889,0.00000,-2.00764,-1.98637
18,16.6950,-2.00409,1.04085,-1.98170,0.059824,0.75155,0.00000,-1.97035,-1.93737
19,16.5730,-1.96680,1.04085,-1.93250,0.061740,0.75037,0.00000,-1.93306,-1.88618
20,17.6210,-1.92950,1.04085,-1.88130,0.063351,0.75000,0.00000,-1.89577,-1.83499
21,15.7990,-1.89218,1.04085,-1.83006,0.063380,0.75021,0.00000,-1.85848,-1.78379
22,26.5720,-1.85482,1.04085,-1.77877,0.063460,0.75055,0.00000,-1.82119,-1.73260
23,6.5210,-1.81753,1.04085,-1.72758,0.063333,0.75150,0.00000,-1.78391,-1.68141
24,16.8040,-1.78023,1.04085,-1.67636,0.063366,0.75000,0.00000,-1.74662,-1.63021
25,16.6090,-1.74291,1.04085,-1.62512,0.063384,0.75039,0.00000,-1.70933,-1.57902
26,16.9960,-1.70556,1.04085,-1.57384,0.063441,0.75060,0.00000,-1.67204,-1.52783
27,18.6910,-1.66827,1.04085,-1.52265,0.063333,0.75128,0.00000,-1.63475,-1.47664
28,14.8900,-1.63098,1.04085,-1.47146,0.063333,0.75000,0.00000,-1.59747,-1.42544
29,16.1560,-1.59369,1.04085,-1.42026,0.063334,0.75000,0.00000,-1.56018,-1.37425
