frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z
0,36.0740,-2.47556,2.04522,-2.47556,0.100886,0.75155,0.00000,-2.47363,-2.47363
1,6.4070,-2.45859,1.96756,-2.45859,0.081284,4.27983,0.00000,-2.45059,-2.45059
2,3.1020,-2.45059,1.92993,-2.45059,0.039295,1.18143,0.00000,-2.43639,-2.43639
3,0.6930,-2.45027,1.92836,-2.45027,0.001630,0.48305,0.00000,-2.43639,-2.43639
4,0.4120,-2.45022,1.92815,-2.45022,0.000221,0.01714,0.00000,-2.43639,-2.43639
5,13.1270,-2.43639,1.86150,-2.43639,0.069467,0.00233,0.00000,-2.42039,-2.42039
6,14.2840,-2.42839,1.82228,-2.42839,0.040814,0.73053,0.00000,-2.42039,-2.42039
7,58.9960,-2.41917,1.77701,-2.41917,0.047108,0.37500,0.00000,-2.40260,-2.40260
8,8.1100,-2.36887,1.52443,-2.36887,0.262410,0.42634,0.00000,-2.36165,-2.36165
9,3.4710,-2.34631,1.40938,-2.34631,0.119392,1.94512,0.00000,-2.33848,-2.33848
10,3.0570,-2.32994,1.32540,-2.32994,0.087106,0.75000,0.00000,-2.31352,-2.31352
11,12.2520,-2.31178,1.23193,-2.31178,0.096936,0.51012,0.00000,-2.28677,-2.28677
12,31.9790,-2.28492,1.09848,-2.28492,0.138752,0.54207,0.00000,-2.25822,-2.25822
13,3.9620,-2.25620,1.04085,-2.25620,0.070502,0.75000,0.00000,-2.22710,-2.22710
14,14.1380,-2.22491,1.04085,-2.22491,0.044253,0.75000,0.00000,-2.19339,-2.19339
15,16.9450,-2.19104,1.04085,-2.19104,0.047901,0.75000,0.00000,-2.15711,-2.15711
16,16.6200,-2.15468,1.04085,-2.15459,0.051484,0.75000,0.00000,-2.11968,-2.11824
17,24.8100,-2.11726,1.04085,-2.11556,0.054075,0.75000,0.00000,-2.08230,-2.07682
18,8.6030,-2.07988,1.04085,-2.07396,0.055921,0.75000,0.00000,-2.04496,-2.03285
19,18.5630,-2.04254,1.04085,-2.02983,0.057808,0.75000,0.00000,-2.00764,-1.98637
20,520.1940,-1.71199,1.04085,-1.58268,0.556064,0.75000,0.00000,-1.70933,-1.57902
21,5.0530,-1.66768,1.04085,-1.52184,0.075263,6.64778,0.00000,-1.63475,-1.47664
22,5.7340,-1.63475,1.04085,-1.47664,0.055927,0.89127,0.00000,-1.59747,-1.42544
23,16.9760,-1.59747,1.04085,-1.42544,0.063333,0.66230,0.00000,-1.56018,-1.37425
24,22.2210,-1.55689,1.04085,-1.36973,0.068925,0.75000,0.00000,-1.52289,-1.32306
25,12.7750,-1.51958,1.04085,-1.31851,0.063361,0.81621,0.00000,-1.48560,-1.27186
26,15.6990,-1.48225,1.04085,-1.26726,0.063407,0.75033,0.00000,-1.44831,-1.22067
27,16.1480,-1.44500,1.04085,-1.21612,0.063270,0.75087,0.00000,-1.41103,-1.16948
28,16.8290,-1.40825,1.04084,-1.16562,0.062461,0.74925,0.04575,-1.40799,-1.16243
29,16.6960,-1.37711,1.04076,-1.12238,0.053280,0.75038,0.03745,-1.37069,-1.11125
30,16.3900,-1.34477,1.04069,-1.07758,0.055253,0.74871,0.03067,-1.33338,-1.06006
31,16.8210,-1.31145,1.04063,-1.03151,0.056860,0.75101,0.02511,-1.29608,-1.00888
32,16.9120,-1.27759,1.04058,-0.98477,0.057720,0.75262,0.02056,-1.25878,-0.95770
33,16.3260,-1.24303,1.04054,-0.93712,0.058859,0.74808,0.01683,-1.22148,-0.90651
34,17.1940,-1.20798,1.04051,-0.88883,0.059670,0.75000,0.01378,-1.18418,-0.85533
35,16.1590,-1.17251,1.04049,-0.84002,0.060334,0.75000,0.01128,-1.14688,-0.80415
36,18.9150,-1.13677,1.04047,-0.79089,0.060755,0.75000,0.01541,-1.11273,-0.75995
37,14.6570,-1.10128,1.04054,-0.74253,0.059985,0.75000,0.01262,-1.07544,-0.70876
38,16.3910,-1.06546,1.04059,-0.69366,0.060592,0.75000,0.01033,-1.03815,-0.65756
39,17.6560,-1.02937,1.04064,-0.64437,0.061089,0.75000,0.00846,-1.00087,-0.60637
40,16.4140,-0.99307,1.04067,-0.59474,0.061496,0.75000,0.00692,-0.96358,-0.55518
41,16.3190,-0.95659,1.04070,-0.54482,0.061829,0.75000,0.00567,-0.92629,-0.50399
42,16.5690,-0.91996,1.04072,-0.49467,0.062102,0.75000,0.00464,-0.88900,-0.45279
43,16.8820,-0.88321,1.04074,-0.44433,0.062325,0.75000,0.00380,-0.85171,-0.40160
44,16.5420,-0.84636,1.04076,-0.39384,0.062508,0.75000,0.00311,-0.81443,-0.35041
45,16.6110,-0.80944,1.04077,-0.34322,0.062657,0.75000,0.00255,-0.77714,-0.29921
46,17.0110,-0.77245,1.04078,-0.29249,0.062780,0.75000,0.00209,-0.73985,-0.24802
47,16.1250,-0.73540,1.04079,-0.24168,0.062880,0.75000,0.00171,-0.70256,-0.19683
48,17.1920,-0.69831,1.04080,-0.19080,0.062962,0.75000,0.00140,-0.66527,-0.14563
