frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z
0,35.7980,-2.47363,2.03679,-2.47363,0.109743,0.75240,0.00000,-2.47363,-2.47363
1,9.2530,-2.43639,1.86150,-2.43639,0.183034,4.18646,0.00000,-2.43639,-2.43639
2,0.9080,-2.43639,1.86150,-2.43639,0.000000,1.50000,0.00000,-2.43639,-2.43639
3,0.5490,-2.43639,1.86150,-2.43639,0.000000,0.18795,0.00000,-2.43639,-2.43639
4,0.3760,-2.43639,1.86150,-2.43639,0.000000,0.02520,0.00000,-2.43639,-2.43639
5,10.1310,-2.43639,1.86150,-2.43639,0.000000,0.01742,0.00000,-2.43639,-2.43639
6,60.8880,-2.42039,1.78307,-2.42039,0.081628,0.18750,0.00000,-2.42039,-2.42039
7,10.9000,-2.36165,1.48777,-2.36165,0.306756,0.64328,0.00000,-2.36165,-2.36165
8,3.4500,-2.33848,1.36934,-2.33848,0.122879,2.40535,0.00000,-2.33848,-2.33848
9,0.6470,-2.33848,1.36934,-2.33848,0.000000,0.48812,0.00000,-2.33848,-2.33848
10,10.4100,-2.31352,1.24091,-2.31352,0.133193,0.14688,0.00000,-2.31352,-2.31352
11,16.6750,-2.28677,1.10248,-2.28677,0.143508,0.70328,0.00000,-2.28677,-2.28677
12,32.5250,-2.25822,1.04083,-2.25822,0.073691,0.75000,0.00000,-2.25822,-2.25822
13,4.4050,-2.22710,1.04085,-2.22710,0.044016,0.75000,0.00000,-2.22710,-2.22710
14,12.5740,-2.19339,1.04085,-2.19339,0.047664,0.75000,0.00000,-2.19339,-2.19339
15,16.8050,-2.15711,1.04085,-2.15711,0.051313,0.75000,0.00000,-2.15711,-2.15711
16,16.8470,-2.11968,1.04085,-2.11824,0.053957,0.74976,0.00000,-2.11968,-2.11824
17,25.5100,-2.08230,1.04085,-2.07682,0.055800,0.75000,0.00000,-2.08230,-2.07682
18,9.8460,-2.04496,1.04085,-2.03285,0.057685,0.75000,0.00000,-2.04496,-2.03285
19,15.0120,-2.00764,1.04085,-1.98637,0.059609,0.75000,0.00000,-2.00764,-1.98637
20,15.9970,-1.97035,1.04085,-1.93737,0.061573,0.68750,0.00000,-1.97035,-1.93737
21,14.1550,-1.97035,1.04085,-1.93737,0.000000,0.68750,0.00000,-1.97035,-1.93737
22,19.3270,-1.93306,1.04085,-1.88618,0.063333,0.57027,0.00000,-1.93306,-1.88618
23,16.5370,-1.89577,1.04085,-1.83499,0.063333,0.68750,0.00000,-1.89577,-1.83499
24,17.2740,-1.85848,1.04085,-1.78379,0.063333,0.74532,0.00000,-1.85848,-1.78379
25,16.2370,-1.82119,1.04085,-1.73260,0.063333,0.75000,0.00000,-1.82119,-1.73260
26,16.7360,-1.78391,1.04085,-1.68141,0.063333,0.75000,0.00000,-1.78391,-1.68141
27,16.5740,-1.74662,1.04085,-1.63021,0.063333,0.75000,0.00000,-1.74662,-1.63021
28,16.9430,-1.70933,1.04085,-1.57902,0.063333,0.75000,0.00000,-1.70933,-1.57902
29,16.6590,-1.67204,1.04085,-1.52783,0.063333,0.75000,0.00000,-1.67204,-1.52783
30,16.5970,-1.63475,1.04085,-1.47664,0.063333,0.75000,0.00000,-1.63475,-1.47664
31,21.0650,-1.59747,1.04085,-1.42544,0.063333,0.75000,0.00000,-1.59747,-1.42544
32,12.3100,-1.56018,1.04085,-1.37425,0.063333,0.75000,0.00000,-1.56018,-1.37425
33,16.4760,-1.52289,1.04085,-1.32306,0.063333,0.75000,0.00000,-1.52289,-1.32306
34,17.8800,-1.48560,1.04085,-1.27186,0.063333,0.75000,0.00000,-1.48560,-1.27186
35,15.4700,-1.44831,1.04085,-1.22067,0.063333,0.75000,0.00000,-1.44831,-1.22067
36,16.5990,-1.41103,1.04085,-1.16948,0.063333,0.75000,0.00000,-1.41103,-1.16948
37,16.6790,-1.37374,1.04085,-1.11828,0.063333,0.75000,0.00000,-1.37374,-1.11828
38,17.0100,-1.33645,1.04085,-1.06709,0.063333,0.75000,0.00000,-1.33645,-1.06709
39,16.3230,-1.29916,1.04085,-1.01590,0.063333,0.75000,0.00000,-1.29916,-1.01590
40,16.7270,-1.26187,1.04085,-0.96471,0.063333,0.75000,0.00000,-1.26187,-0.96471
41,16.5860,-1.22459,1.04085,-0.91351,0.063333,0.75000,0.00000,-1.22459,-0.91351
42,16.6400,-1.18730,1.04085,-0.86232,0.063333,0.75000,0.00000,-1.18730,-0.86232
43,16.8660,-1.15001,1.04085,-0.81113,0.063333,0.75000,0.00000,-1.15001,-0.81113
44,22.2170,-1.11272,1.04085,-0.75993,0.063333,0.75000,0.00000,-1.11272,-0.75993
45,11.6200,-1.07544,1.04085,-0.70874,0.063333,0.75000,0.00000,-1.07544,-0.70874
46,16.1450,-1.03815,1.04085,-0.65755,0.063333,0.75000,0.00000,-1.03815,-0.65755
47,16.6340,-1.00086,1.04085,-0.60636,0.063333,0.75000,0.00000,-1.00086,-0.60636
48,16.5320,-0.96357,1.04085,-0.55516,0.063333,0.75000,0.00000,-0.96357,-0.55516
49,16.8050,-0.92628,1.04085,-0.50397,0.063333,0.75000,0.00000,-0.92628,-0.50397
50,16.5480,-0.88900,1.04085,-0.45278,0.063333,0.75000,0.00000,-0.88900,-0.45278
51,16.8000,-0.85171,1.04085,-0.40158,0.063333,0.75000,0.00000,-0.85171,-0.40158
52,16.7150,-0.81442,1.04085,-0.35039,0.063333,0.75000,0.00000,-0.81442,-0.35039
53,16.7600,-0.77713,1.04085,-0.29920,0.063333,0.75000,0.00000,-0.77713,-0.29920
54,16.5550,-0.73984,1.04085,-0.24800,0.063333,0.75000,0.00000,-0.73984,-0.24800
55,16.6910,-0.70256,1.04085,-0.19681,0.063333,0.75000,0.00000,-0.70256,-0.19681
