frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z
0,52.1480,-2.48950,2.10382,-2.48950,0.039113,0.75519,0.00000,-2.48950,-2.48950
1,15.6130,-2.45059,1.92993,-2.45059,0.182387,2.99291,0.00000,-2.45059,-2.45059
2,3.6720,-2.43639,1.86150,-2.43639,0.071319,2.25000,0.00000,-2.43639,-2.43639
3,0.8660,-2.43639,1.86150,-2.43639,0.000000,1.04664,0.00000,-2.43639,-2.43639
4,0.4440,-2.43639,1.86150,-2.43639,0.000000,0.01965,0.00000,-2.43639,-2.43639
5,9.1920,-2.42039,1.78307,-2.42039,0.081628,0.00261,0.00000,-2.42039,-2.42039
6,13.8270,-2.42039,1.78307,-2.42039,0.000000,0.43110,0.00000,-2.42039,-2.42039
7,21.2310,-2.40260,1.69463,-2.40260,0.091940,0.37500,0.00000,-2.40260,-2.40260
8,56.7870,-2.38302,1.59620,-2.38302,0.102252,0.38522,0.00000,-2.38302,-2.38302
9,8.4140,-2.33848,1.36934,-2.33848,0.235444,0.74934,0.00000,-2.33848,-2.33848
10,3.9490,-2.31352,1.24091,-2.31352,0.133193,2.05295,0.00000,-2.31352,-2.31352
11,3.3490,-2.28677,1.10248,-2.28677,0.143508,0.75000,0.00000,-2.28677,-2.28677
12,25.9060,-2.25822,1.04083,-2.25822,0.073691,0.54949,0.00000,-2.25822,-2.25822
13,5.2350,-2.22710,1.04083,-2.22710,0.044017,0.39182,0.00000,-2.22710,-2.22710
14,11.6290,-2.19339,1.04083,-2.19339,0.047664,0.75000,0.00000,-2.19339,-2.19339
15,16.7170,-2.15711,1.04083,-2.15711,0.051313,0.75000,0.00000,-2.15711,-2.15711
16,16.8350,-2.11968,1.04083,-2.11824,0.053957,0.75000,0.00000,-2.11968,-2.11824
17,25.2130,-2.08230,1.04083,-2.07682,0.055800,0.75000,0.00000,-2.08230,-2.07682
18,7.8570,-2.04496,1.04083,-2.03285,0.057685,0.75000,0.00000,-2.04496,-2.03285
19,16.4930,-2.00764,1.04083,-1.98636,0.059609,0.75000,0.00000,-2.00764,-1.98636
20,528.0160,-1.70933,1.04083,-1.57902,0.504895,0.75000,0.00000,-1.70933,-1.57902
21,6.5110,-1.63475,1.04083,-1.47664,0.126667,6.53706,0.00000,-1.63475,-1.47664
22,3.6150,-1.59747,1.04083,-1.42544,0.063333,1.27899,0.00000,-1.59747,-1.42544
23,12.8080,-1.56018,1.04083,-1.37425,0.063333,0.43014,0.00000,-1.56018,-1.37425
24,16.4470,-1.52289,1.04083,-1.32306,0.063333,0.75000,0.00000,-1.52289,-1.32306
25,17.9130,-1.48560,1.04083,-1.27186,0.063333,0.79448,0.00000,-1.48560,-1.27186
26,15.8030,-1.44831,1.04083,-1.22067,0.063333,0.75073,0.00000,-1.44831,-1.22067
27,16.7080,-1.41103,1.04083,-1.16948,0.063333,0.75204,0.00000,-1.41103,-1.16948
28,16.8890,-1.37374,1.04083,-1.11828,0.063333,0.75254,0.00000,-1.37374,-1.11828
29,16.1680,-1.33645,1.04083,-1.06709,0.063333,0.74893,0.00000,-1.33645,-1.06709
30,16.5100,-1.29916,1.04083,-1.01590,0.063333,0.75155,0.00000,-1.29916,-1.01590
31,16.7190,-1.26187,1.04083,-0.96471,0.063333,0.74965,0.00000,-1.26187,-0.96471
32,19.2180,-1.22459,1.04083,-0.91351,0.063333,0.75262,0.00000,-1.22459,-0.91351
33,14.3720,-1.18730,1.04083,-0.86232,0.063333,0.74961,0.00000,-1.18730,-0.86232
34,16.8170,-1.15001,1.04083,-0.81113,0.063333,0.75000,0.00000,-1.15001,-0.81113
35,16.7100,-1.11272,1.04083,-0.75993,0.063333,0.75000,0.00000,-1.11272,-0.75993
36,16.7270,-1.07543,1.04083,-0.70874,0.063333,0.75000,0.00000,-1.07543,-0.70874
37,16.5790,-1.03815,1.04083,-0.65755,0.063333,0.75000,0.00000,-1.03815,-0.65755
38,17.4790,-1.00086,1.04083,-0.60636,0.063333,0.75000,0.00000,-1.00086,-0.60636
39,16.0800,-0.96357,1.04083,-0.55516,0.063333,0.75000,0.00000,-0.96357,-0.55516
40,16.4500,-0.92628,1.04083,-0.50397,0.063333,0.75000,0.00000,-0.92628,-0.50397
41,17.0060,-0.88899,1.04083,-0.45278,0.063333,0.75000,0.00000,-0.88899,-0.45278
42,16.6190,-0.85171,1.04083,-0.40158,0.063333,0.75000,0.00000,-0.85171,-0.40158
43,16.6680,-0.81442,1.04083,-0.35039,0.063333,0.75000,0.00000,-0.81442,-0.35039
44,16.8910,-0.77713,1.04083,-0.29920,0.063333,0.75000,0.00000,-0.77713,-0.29920
45,20.7040,-0.73984,1.04083,-0.24800,0.063333,0.75000,0.00000,-0.73984,-0.24800
46,12.3680,-0.70255,1.04083,-0.19681,0.063333,0.75000,0.00000,-0.70255,-0.19681
47,16.8280,-0.66527,1.04083,-0.14562,0.063333,0.75000,0.00000,-0.66527,-0.14562
