frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z
0,44.3270,-2.49206,2.11340,-2.49206,0.028877,0.01737,0.00000,-2.48950,-2.48950
1,8.6370,-2.47521,2.04365,-2.47520,0.073703,2.24721,0.00000,-2.47363,-2.47363
2,10.2330,-2.47010,2.02070,-2.47010,0.024060,1.73101,0.00000,-2.46300,-2.46300
3,7.1460,-2.45477,1.94959,-2.45477,0.074346,0.38309,0.00000,-2.45059,-2.45059
4,0.7210,-2.45219,1.93746,-2.45219,0.012659,0.99852,0.00000,-2.45059,-2.45059
5,0.3320,-2.45194,1.93627,-2.45194,0.001252,0.15561,0.00000,-2.45059,-2.45059
6,0.3350,-2.45169,1.93509,-2.45169,0.001226,0.01539,0.00000,-2.45059,-2.45059
7,0.5310,-2.45130,1.93326,-2.45130,0.001911,0.01507,0.00000,-2.45059,-2.45059
8,0.5330,-2.45090,1.93136,-2.45090,0.001984,0.02349,0.00000,-2.45059,-2.45059
9,3.2750,-2.45049,1.92942,-2.45049,0.002023,0.02439,0.00000,-2.43639,-2.43639
10,0.6550,-2.44812,1.91802,-2.44812,0.011887,0.02394,0.00000,-2.43639,-2.43639
11,0.3190,-2.44733,1.91420,-2.44733,0.003976,0.12500,0.00000,-2.43639,-2.43639
12,0.4130,-2.44697,1.91250,-2.44697,0.001776,0.04182,0.00000,-2.43639,-2.43639
13,0.5120,-2.44653,1.91039,-2.44653,0.002199,0.01867,0.00000,-2.43639,-2.43639
14,0.5260,-2.44608,1.90822,-2.44608,0.002264,0.02313,0.00000,-2.43639,-2.43639
15,0.5380,-2.44563,1.90603,-2.44563,0.002281,0.02381,0.00000,-2.43639,-2.43639
16,0.5310,-2.44517,1.90383,-2.44517,0.002294,0.02398,0.00000,-2.43639,-2.43639
17,0.5570,-2.44470,1.90156,-2.44470,0.002362,0.02412,0.00000,-2.43639,-2.43639
18,0.4920,-2.44428,1.89952,-2.44428,0.002127,0.02484,0.00000,-2.43639,-2.43639
19,0.5440,-2.44382,1.89731,-2.44382,0.002306,0.02236,0.00000,-2.43639,-2.43639
20,0.5360,-2.44336,1.89508,-2.44336,0.002324,0.02425,0.00000,-2.43639,-2.43639
21,0.5360,-2.44330,1.89480,-2.44330,0.000286,0.02444,0.00000,-2.43639,-2.43639
22,0.5170,-2.44324,1.89454,-2.44324,0.000276,0.00300,0.00000,-2.43639,-2.43639
23,0.5420,-2.44319,1.89426,-2.44319,0.000291,0.00290,0.00000,-2.43639,-2.43639
24,0.5240,-2.44313,1.89399,-2.44313,0.000281,0.00306,0.00000,-2.43639,-2.43639
25,0.5320,-2.44307,1.89372,-2.44307,0.000284,0.00296,0.00000,-2.43639,-2.43639
26,0.5270,-2.44302,1.89345,-2.44302,0.000283,0.00298,0.00000,-2.43639,-2.43639
