frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z
0,33.3050,-2.48246,2.07522,-2.48246,0.069367,0.74786,0.00000,-2.48246,-2.48246
1,16.5460,-2.46301,1.98836,-2.46301,0.091115,3.53400,0.00000,-2.45059,-2.45059
2,7.3320,-2.44867,1.92066,-2.44867,0.070674,1.50000,0.00000,-2.43639,-2.43639
3,0.7820,-2.44565,1.90612,-2.44565,0.015152,0.85161,0.00000,-2.43639,-2.43639
4,0.4170,-2.44529,1.90438,-2.44529,0.001806,0.15934,0.00000,-2.43639,-2.43639
5,49.5370,-2.43639,1.86150,-2.43639,0.044698,0.01899,0.00000,-2.42039,-2.42039
6,3.6330,-2.40442,1.70368,-2.40442,0.164166,0.47005,0.00000,-2.40260,-2.40260
7,3.1410,-2.39079,1.63527,-2.39079,0.071072,1.42331,0.00000,-2.38302,-2.38302
8,0.6740,-2.38302,1.59620,-2.38302,0.040582,0.52903,0.00000,-2.38302,-2.38302
9,19.4930,-2.36877,1.52392,-2.36877,0.075043,0.29766,0.00000,-2.36165,-2.36165
10,17.1930,-2.35282,1.44266,-2.35282,0.084333,0.50000,0.00000,-2.33848,-2.33848
11,15.9180,-2.33134,1.33260,-2.33134,0.114169,0.53571,0.00000,-2.31352,-2.31352
12,17.4270,-2.30547,1.19925,-2.30547,0.138282,0.67883,0.00000,-2.28677,-2.28677
13,33.5540,-2.27841,1.08444,-2.27841,0.121017,0.76118,0.00000,-2.25822,-2.25822
14,4.6030,-2.24075,1.04083,-2.24075,0.068845,0.74376,0.00000,-2.22710,-2.22710
15,11.6280,-2.21239,1.04083,-2.21239,0.040107,0.95166,0.00000,-2.19339,-2.19339
16,16.8270,-2.18159,1.04083,-2.18159,0.043556,0.65625,0.00000,-2.15711,-2.15711
17,16.8910,-2.14606,1.04083,-2.14564,0.050541,0.66667,0.00000,-2.11968,-2.11824
18,27.4640,-2.10869,1.04083,-2.10606,0.054436,0.72733,0.00000,-2.08230,-2.07682
19,5.5040,-2.07132,1.04083,-2.06388,0.056350,0.74921,0.00000,-2.04496,-2.03285
20,16.6660,-2.03390,1.04083,-2.01907,0.058380,0.75002,0.00000,-2.00764,-1.98636
21,16.7440,-1.99654,1.04083,-1.97178,0.060270,0.75168,0.00000,-1.97035,-1.93737
22,16.7110,-1.95924,1.04083,-1.92213,0.062094,0.75101,0.00000,-1.93306,-1.88618
23,17.5180,-1.92185,1.04083,-1.87079,0.063522,0.75000,0.00000,-1.89577,-1.83499
24,15.6250,-1.88456,1.04083,-1.81959,0.063333,0.75224,0.00000,-1.85848,-1.78379
25,16.7690,-1.84727,1.04083,-1.76840,0.063333,0.75000,0.00000,-1.82119,-1.73260
26,16.7380,-1.80998,1.04083,-1.71721,0.063334,0.75000,0.00000,-1.78391,-1.68141
27,16.9040,-1.77269,1.04083,-1.66601,0.063333,0.75000,0.00000,-1.74662,-1.63021
28,16.5820,-1.73521,1.04083,-1.61455,0.063670,0.75000,0.00000,-1.70933,-1.57902
29,16.9050,-1.69792,1.04083,-1.56336,0.063334,0.75399,0.00000,-1.67204,-1.52783
30,18.1650,-1.66063,1.04083,-1.51216,0.063333,0.75000,0.00000,-1.63475,-1.47664
31,15.0450,-1.62334,1.04083,-1.46097,0.063334,0.75000,0.00000,-1.59747,-1.42544
32,16.4980,-1.58606,1.04083,-1.40978,0.063334,0.75000,0.00000,-1.56018,-1.37425
33,16.6450,-1.54877,1.04083,-1.35858,0.063333,0.75000,0.00000,-1.52289,-1.32306
34,18.2960,-1.51148,1.04083,-1.30739,0.063333,0.75000,0.00000,-1.48560,-1.27186
35,15.0570,-1.47419,1.04083,-1.25620,0.063333,0.75000,0.00000,-1.44831,-1.22067
36,17.1450,-1.43690,1.04083,-1.20500,0.063333,0.75000,0.00000,-1.41103,-1.16948
37,16.1660,-1.39962,1.04083,-1.15381,0.063334,0.75000,0.00000,-1.37374,-1.11828
38,16.6130,-1.36233,1.04083,-1.10262,0.063333,0.75000,0.00000,-1.33645,-1.06709
39,16.6110,-1.32504,1.04083,-1.05143,0.063334,0.75000,0.00000,-1.29916,-1.01590
40,16.7260,-1.28775,1.04083,-1.00023,0.063333,0.75000,0.00000,-1.26187,-0.96471
41,16.3990,-1.25046,1.04083,-0.94904,0.063333,0.75000,0.00000,-1.22459,-0.91351
42,16.8990,-1.21318,1.04083,-0.89785,0.063334,0.75000,0.00000,-1.18730,-0.86232
43,21.8140,-1.17589,1.04083,-0.84665,0.063334,0.75000,0.00000,-1.15001,-0.81113
44,11.1130,-1.13860,1.04083,-0.79546,0.063334,0.75000,0.00000,-1.11272,-0.75993
45,16.6100,-1.10131,1.04083,-0.74427,0.063333,0.75000,0.00000,-1.07543,-0.70874
46,16.5460,-1.06402,1.04083,-0.69308,0.063333,0.75000,0.00000,-1.03815,-0.65755
47,16.8170,-1.02674,1.04083,-0.64188,0.063334,0.75000,0.00000,-1.00086,-0.60636
48,17.0470,-0.98940,1.04083,-0.59063,0.063408,0.75000,0.00000,-0.96357,-0.55516
49,16.4510,-0.95212,1.04083,-0.53944,0.063333,0.75089,0.00000,-0.92628,-0.50397
50,16.5750,-0.91483,1.04083,-0.48824,0.063333,0.75000,0.00000,-0.88899,-0.45278
51,16.4890,-0.87754,1.04083,-0.43705,0.063334,0.75000,0.00000,-0.85171,-0.40158
52,16.8370,-0.84025,1.04083,-0.38585,0.063338,0.75000,0.00000,-0.81442,-0.35039
53,16.6070,-0.80296,1.04083,-0.33466,0.063333,0.75006,0.00000,-0.77713,-0.29920
54,16.6600,-0.76567,1.04083,-0.28347,0.063333,0.75000,0.00000,-0.73984,-0.24800
55,18.7480,-0.72839,1.04083,-0.23227,0.063333,0.75000,0.00000,-0.70255,-0.19681
56,14.4610,-0.69110,1.04083,-0.18108,0.063333,0.75000,0.00000,-0.66527,-0.14562
57,16.7810,-0.65381,1.04083,-0.12989,0.063336,0.75000,0.00000,-0.62798,-0.09443
58,16.7580,-0.61651,1.04083,-0.07867,0.063357,0.75003,0.00000,-0.59069,-0.04323
59,17.0970,-0.57905,1.04083,-0.02725,0.063623,0.75029,0.00000,-0.55340,0.00796
60,16.6470,-0.54166,1.04083,0.02408,0.063498,0.75343,0.00000,-0.51612,0.05915
61,17.1590,-0.50432,1.04083,0.07535,0.063426,0.75195,0.00000,-0.47883,0.11035
62,16.3800,-0.46700,1.04083,0.12658,0.063384,0.75109,0.00000,-0.44154,0.16154
63,16.3540,-0.42971,1.04083,0.17777,0.063333,0.75060,0.00000,-0.40425,0.21273
64,16.6600,-0.39243,1.04083,0.22897,0.063333,0.75000,0.00000,-0.36696,0.26392
65,16.3300,-0.35514,1.04083,0.28016,0.063333,0.75000,0.00000,-0.32968,0.31512
66,17.0290,-0.31785,1.04083,0.33135,0.063333,0.75000,0.00000,-0.29239,0.36631
67,18.2730,-0.28056,1.04083,0.38255,0.063333,0.75001,0.00000,-0.25510,0.41750
68,14.8030,-0.24327,1.04083,0.43374,0.063333,0.75000,0.00000,-0.21781,0.46870
69,16.5400,-0.20599,1.04083,0.48493,0.063333,0.75000,0.00000,-0.18052,0.51989
70,16.6730,-0.16870,1.04083,0.53613,0.063333,0.75000,0.00000,-0.14324,0.57108
71,16.5810,-0.13141,1.04083,0.58732,0.063333,0.75000,0.00000,-0.10595,0.62228
72,17.2530,-0.09412,1.04083,0.63851,0.063333,0.75000,0.00000,-0.06866,0.67347
73,17.0700,-0.05676,1.04083,0.68981,0.063461,0.75000,0.00000,-0.03137,0.72466
74,16.4020,-0.01947,1.04083,0.74100,0.063333,0.75151,0.00000,0.00592,0.77585
75,17.0570,0.01895,1.04083,0.79375,0.065259,0.75000,0.00000,0.04320,0.82705
76,16.7610,0.05626,1.04083,0.84497,0.063365,0.77280,0.00000,0.08049,0.87824
77,16.4920,0.09355,1.04083,0.89616,0.063333,0.75038,0.00000,0.11778,0.92943
78,16.3840,0.13083,1.04083,0.94735,0.063333,0.75000,0.00000,0.15507,0.98063
79,18.6970,0.16812,1.04083,0.99855,0.063333,0.75000,0.00000,0.19236,1.03182
80,14.8440,0.20541,1.04083,1.04974,0.063333,0.75000,0.00000,0.22964,1.08301
81,16.2830,0.24270,1.04083,1.10093,0.063333,0.75000,0.00000,0.26693,1.13421
82,16.7530,0.27999,1.04083,1.15213,0.063333,0.75000,0.00000,0.30422,1.18540
83,16.6190,0.31727,1.04083,1.20332,0.063333,0.75000,0.00000,0.34151,1.23659
84,16.7350,0.35456,1.04083,1.25451,0.063333,0.75000,0.00000,0.37880,1.28778
85,17.4240,0.39200,1.04083,1.30591,0.063584,0.75000,0.00000,0.41608,1.33898
86,16.4010,0.42935,1.04083,1.35719,0.063445,0.75298,0.00000,0.45337,1.39017
87,17.0130,0.46682,1.04083,1.40864,0.063646,0.75132,0.00000,0.49066,1.44136
88,16.1850,0.50411,1.04083,1.45983,0.063333,0.75370,0.00000,0.52795,1.49256
89,16.4810,0.54140,1.04083,1.51102,0.063333,0.75000,0.00000,0.56524,1.54375
90,16.5550,0.57869,1.04083,1.56222,0.063333,0.75001,0.00000,0.60252,1.59494
91,18.5740,0.61598,1.04083,1.61341,0.063333,0.75000,0.00000,0.63981,1.64614
92,14.9150,0.65326,1.04083,1.66460,0.063333,0.75000,0.00000,0.67710,1.69733
93,16.7200,0.69055,1.04083,1.71579,0.063333,0.75000,0.00000,0.71439,1.74852
94,16.6260,0.72784,1.04083,1.76699,0.063334,0.74999,0.00000,0.75168,1.79971
95,16.7950,0.76513,1.04083,1.81818,0.063333,0.75000,0.00000,0.78896,1.85091
96,16.6530,0.80241,1.04083,1.86937,0.063333,0.75000,0.00000,0.82625,1.90210
97,16.6350,0.83970,1.04083,1.92057,0.063333,0.75000,0.00000,0.86354,1.95329
98,17.3150,0.87711,1.04083,1.97192,0.063530,0.75001,0.00000,0.90083,2.00449
99,16.4680,0.91453,1.04083,2.02330,0.063563,0.75232,0.00000,0.93812,2.05568
100,16.1600,0.95182,1.04083,2.07449,0.063333,0.75272,0.00000,0.97540,2.10687
101,16.6870,0.98911,1.04083,2.12568,0.063333,0.75000,0.00000,1.01269,2.15807
102,16.6380,1.02639,1.04083,2.17688,0.063334,0.75000,0.00000,1.04998,2.20926
