frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z
0,47.6850,-2.49475,2.12351,-2.49475,0.018087,0.06250,0.00000,-2.49475,-2.49475
1,13.4230,-2.47363,2.03679,-2.47363,0.091719,2.11193,0.00000,-2.47363,-2.47363
2,3.5800,-2.46300,1.98836,-2.46300,0.050707,2.14413,0.00000,-2.46300,-2.46300
3,2.9260,-2.45059,1.92993,-2.45059,0.061011,0.43614,0.00000,-2.45059,-2.45059
4,0.5400,-2.45059,1.92993,-2.45059,0.000000,0.41973,0.00000,-2.45059,-2.45059
5,0.8100,-2.45059,1.92993,-2.45059,0.000000,0.01613,0.00000,-2.45059,-2.45059
6,1.1160,-2.45059,1.92993,-2.45059,0.000000,0.25828,0.00000,-2.45059,-2.45059
7,1.3690,-2.45059,1.92993,-2.45059,0.000000,0.05031,0.00000,-2.45059,-2.45059
8,1.3890,-2.45059,1.92993,-2.45059,0.000000,0.06170,0.00000,-2.45059,-2.45059
9,1.3710,-2.45059,1.92993,-2.45059,0.000000,0.06223,0.00000,-2.45059,-2.45059
10,1.3760,-2.45059,1.92993,-2.45059,0.000000,0.06187,0.00000,-2.45059,-2.45059
11,1.3740,-2.45059,1.92993,-2.45059,0.000000,0.06201,0.00000,-2.45059,-2.45059
12,1.3870,-2.45059,1.92993,-2.45059,0.000000,0.06178,0.00000,-2.45059,-2.45059
13,3.9520,-2.43639,1.86150,-2.43639,0.071319,0.06233,0.00000,-2.43639,-2.43639
14,0.5460,-2.43639,1.86150,-2.43639,0.000000,0.06183,0.00000,-2.43639,-2.43639
15,0.8140,-2.43639,1.86150,-2.43639,0.000000,0.07500,0.00000,-2.43639,-2.43639
16,1.1090,-2.43639,1.86150,-2.43639,0.000000,0.07500,0.00000,-2.43639,-2.43639
17,1.3800,-2.43639,1.86150,-2.43639,0.000000,0.07500,0.00000,-2.43639,-2.43639
18,1.3810,-2.43639,1.86150,-2.43639,0.000000,0.06431,0.00000,-2.43639,-2.43639
19,1.3790,-2.43639,1.86150,-2.43639,0.000000,0.06223,0.00000,-2.43639,-2.43639
20,1.3770,-2.43639,1.86150,-2.43639,0.000000,0.06205,0.00000,-2.43639,-2.43639
21,1.3790,-2.43639,1.86150,-2.43639,0.000000,0.06201,0.00000,-2.43639,-2.43639
22,1.3850,-2.43639,1.86150,-2.43639,0.000000,0.06201,0.00000,-2.43639,-2.43639
23,1.3720,-2.43639,1.86150,-2.43639,0.000000,0.06215,0.00000,-2.43639,-2.43639
24,1.3830,-2.43639,1.86150,-2.43639,0.000000,0.06183,0.00000,-2.43639,-2.43639
