frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z
0,38.1350,-2.48246,2.07522,-2.48246,0.069367,0.52429,0.00000,-2.48246,-2.48246
1,12.8300,-2.45059,1.92993,-2.45059,0.152122,3.60071,0.00000,-2.45059,-2.45059
2,3.4850,-2.43639,1.86150,-2.43639,0.071319,1.80143,0.00000,-2.43639,-2.43639
3,0.6540,-2.43639,1.86150,-2.43639,0.000000,0.44857,0.00000,-2.43639,-2.43639
4,0.3760,-2.43639,1.86150,-2.43639,0.000000,0.11095,0.00000,-2.43639,-2.43639
5,11.0530,-2.42039,1.78307,-2.42039,0.081628,0.01688,0.00000,-2.42039,-2.42039
6,14.3730,-2.42039,1.78307,-2.42039,0.000000,0.62217,0.00000,-2.42039,-2.42039
7,58.8390,-2.40260,1.69463,-2.40260,0.091940,0.37500,0.00000,-2.40260,-2.40260
8,6.8220,-2.36165,1.48777,-2.36165,0.214817,0.51891,0.00000,-2.36165,-2.36165
9,3.1130,-2.33848,1.36934,-2.33848,0.122879,1.93991,0.00000,-2.33848,-2.33848
10,2.8910,-2.31352,1.24091,-2.31352,0.133193,0.75000,0.00000,-2.31352,-2.31352
11,14.0350,-2.28677,1.10248,-2.28677,0.143508,0.43515,0.00000,-2.28677,-2.28677
12,32.6530,-2.25822,1.04083,-2.25822,0.073691,0.62582,0.00000,-2.25822,-2.25822
13,3.8750,-2.22710,1.04083,-2.22710,0.044017,0.74844,0.00000,-2.22710,-2.22710
14,14.0240,-2.19339,1.04083,-2.19339,0.047664,0.75000,0.00000,-2.19339,-2.19339
15,16.7780,-2.15711,1.04083,-2.15711,0.051313,0.75000,0.00000,-2.15711,-2.15711
16,16.1130,-2.11968,1.04083,-2.11824,0.053957,0.75000,0.00000,-2.11968,-2.11824
17,25.3660,-2.08230,1.04083,-2.07682,0.055800,0.75000,0.00000,-2.08230,-2.07682
18,8.6820,-2.04496,1.04083,-2.03285,0.057685,0.75000,0.00000,-2.04496,-2.03285
19,18.2170,-2.00764,1.04083,-1.98636,0.059609,0.75000,0.00000,-2.00764,-1.98636
20,518.3900,-1.70933,1.04083,-1.57902,0.504895,0.75000,0.00000,-1.70933,-1.57902
21,5.4800,-1.63475,1.04083,-1.47664,0.126667,6.57144,0.00000,-1.63475,-1.47664
22,7.8800,-1.59747,1.04083,-1.42544,0.063333,0.88735,0.00000,-1.59747,-1.42544
23,16.7450,-1.56018,1.04083,-1.37425,0.063333,0.64799,0.00000,-1.56018,-1.37425
24,21.8980,-1.52289,1.04083,-1.32306,0.063333,0.75000,0.00000,-1.52289,-1.32306
25,13.1510,-1.48560,1.04083,-1.27186,0.063333,0.93470,0.00000,-1.48560,-1.27186
26,15.6560,-1.44831,1.04083,-1.22067,0.063333,0.75245,0.00000,-1.44831,-1.22067
27,16.1470,-1.41103,1.04083,-1.16948,0.063333,0.74795,0.00000,-1.41103,-1.16948
28,16.9610,-1.37374,1.04083,-1.11828,0.063333,0.75303,0.00000,-1.37374,-1.11828
29,16.2110,-1.33645,1.04083,-1.06709,0.063333,0.74916,0.00000,-1.33645,-1.06709
30,16.8850,-2.08203,1.04085,-2.07628,1.254734,0.74862,1.07281,-2.08203,-2.07628
31,16.4600,-2.04469,1.04085,-2.03226,0.057731,0.75339,0.87834,-2.04469,-2.03226
32,16.9500,-2.00737,1.04085,-1.98571,0.059656,0.74997,0.71912,-2.00737,-1.98571
33,16.5210,-1.97007,1.04085,-1.93666,0.061621,0.75164,0.58877,-1.97007,-1.93666
34,16.9620,-1.93278,1.04085,-1.88547,0.063333,0.75000,0.48204,-1.93278,-1.88547
35,16.8250,-1.89549,1.04085,-1.83428,0.063333,0.75000,0.39466,-1.89549,-1.83428
36,18.1650,-1.85820,1.04085,-1.78309,0.063333,0.75000,0.32312,-1.85820,-1.78309
37,14.7120,-1.82092,1.04085,-1.73189,0.063333,0.75000,0.26455,-1.82092,-1.73189
38,17.0660,-1.78363,1.04085,-1.68070,0.063333,0.75000,0.21660,-1.78363,-1.68070
39,16.6570,-1.74634,1.04085,-1.62951,0.063333,0.75000,0.17733,-1.74634,-1.62951
40,16.7780,-1.70905,1.04085,-1.57832,0.063333,0.75000,0.14519,-1.70905,-1.57832
41,16.5270,-1.67176,1.04085,-1.52713,0.063333,0.75000,0.11887,-1.67176,-1.52713
