frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z
0,23.0640,-2.48950,2.10382,-2.48950,0.039113,0.31050,0.00000,-2.48950,-2.48950
1,5.7800,-2.47363,2.03679,-2.47363,0.070685,2.75430,0.00000,-2.47363,-2.47363
2,1.1690,-2.46300,1.98836,-2.46300,0.050707,1.43936,0.00000,-2.46300,-2.46300
3,1.9260,-2.46300,1.98836,-2.46300,0.000000,0.54942,0.00000,-2.46300,-2.46300
4,8.2740,-2.45059,1.92993,-2.45059,0.061011,0.01701,0.00000,-2.45059,-2.45059
5,5.5460,-2.45059,1.92993,-2.45059,0.000000,0.42962,0.00000,-2.45059,-2.45059
6,8.3490,-2.43639,1.86150,-2.43639,0.071319,0.31050,0.00000,-2.43639,-2.43639
7,5.4460,-2.43639,1.86150,-2.43639,0.000000,0.31045,0.00000,-2.43639,-2.43639
8,6.8980,-2.43639,1.86150,-2.43639,0.000000,0.31054,0.00000,-2.43639,-2.43639
9,8.2860,-2.42039,1.78307,-2.42039,0.081628,0.31050,0.00000,-2.42039,-2.42039
10,5.5100,-2.42039,1.78307,-2.42039,0.000000,0.31050,0.00000,-2.42039,-2.42039
11,50.6440,-2.40260,1.69463,-2.40260,0.091940,0.31050,0.00000,-2.40260,-2.40260
12,1.6030,-2.38302,1.59620,-2.38302,0.102252,0.31050,0.00000,-2.38302,-2.38302
13,0.0390,-2.38302,1.59620,-2.38302,0.000000,1.22253,0.00000,-2.38302,-2.38302
14,6.7180,-2.36165,1.48777,-2.36165,0.112565,0.16857,0.00000,-2.36165,-2.36165
15,5.5320,-2.36165,1.48777,-2.36165,0.000000,0.37500,0.00000,-2.36165,-2.36165
16,8.2750,-2.33848,1.36934,-2.33848,0.122879,0.37500,0.00000,-2.33848,-2.33848
17,5.5270,-2.33848,1.36934,-2.33848,0.000000,0.38797,0.00000,-2.33848,-2.33848
18,8.2490,-2.31352,1.24091,-2.31352,0.133193,0.36203,0.00000,-2.31352,-2.31352
19,5.5310,-2.31352,1.24091,-2.31352,0.000000,0.37500,0.00000,-2.31352,-2.31352
20,8.2920,-2.28677,1.10248,-2.28677,0.143508,0.37500,0.00000,-2.28677,-2.28677
21,5.5320,-2.28677,1.10248,-2.28677,0.000000,0.37500,0.00000,-2.28677,-2.28677
22,9.2950,-2.25822,1.04083,-2.25822,0.073691,0.37500,0.00000,-2.25822,-2.25822
23,4.5000,-2.25822,1.04083,-2.25822,0.000000,0.37500,0.00000,-2.25822,-2.25822
24,9.3240,-2.22710,1.04083,-2.22710,0.044017,0.31143,0.00000,-2.22710,-2.22710
25,4.4910,-2.22710,1.04083,-2.22710,0.000000,0.31059,0.00000,-2.22710,-2.22710
26,8.3840,-2.19339,1.04083,-2.19339,0.047664,0.31046,0.00000,-2.19339,-2.19339
27,5.4060,-2.19339,1.04083,-2.19339,0.000000,0.31054,0.00000,-2.19339,-2.19339
28,6.9000,-2.19339,1.04083,-2.19339,0.000000,0.31045,0.00000,-2.19339,-2.19339
29,8.5440,-2.15711,1.04083,-2.15711,0.051313,0.31050,0.00000,-2.15711,-2.15711
30,5.2790,-2.15711,1.04083,-2.15711,0.000000,0.31050,0.00000,-2.15711,-2.15711
31,8.4200,-2.11968,1.04083,-2.11824,0.053957,0.31050,0.00000,-2.11968,-2.11824
32,5.3680,-2.11968,1.04083,-2.11824,0.000000,0.31054,0.00000,-2.11968,-2.11824
33,8.3890,-2.08230,1.04083,-2.07682,0.055800,0.31046,0.00000,-2.08230,-2.07682
34,5.4120,-2.08230,1.04083,-2.07682,0.000000,0.31050,0.00000,-2.08230,-2.07682
35,6.8960,-2.08230,1.04083,-2.07682,0.000000,0.31050,0.00000,-2.08230,-2.07682
36,10.3300,-2.04496,1.04083,-2.03285,0.057685,0.31050,0.00000,-2.04496,-2.03285
37,3.5100,-2.04496,1.04083,-2.03285,0.000000,0.31050,0.00000,-2.04496,-2.03285
38,8.5010,-2.00764,1.04083,-1.98636,0.059609,0.31046,0.00000,-2.00764,-1.98636
39,5.2760,-2.00764,1.04083,-1.98636,0.000000,0.31059,0.00000,-2.00764,-1.98636
40,6.8840,-2.00764,1.04083,-1.98636,0.000000,0.31046,0.00000,-2.00764,-1.98636
41,8.4230,-1.97035,1.04083,-1.93737,0.061573,0.31050,0.00000,-1.97035,-1.93737
42,5.4040,-1.97035,1.04083,-1.93737,0.000000,0.31050,0.00000,-1.97035,-1.93737
43,9.1290,-1.93306,1.04083,-1.88618,0.063333,0.31050,0.00000,-1.93306,-1.88618
44,4.6530,-1.93306,1.04083,-1.88618,0.000000,0.31050,0.00000,-1.93306,-1.88618
45,8.5620,-1.89577,1.04083,-1.83499,0.063333,0.31050,0.00000,-1.89577,-1.83499
46,5.2590,-1.89577,1.04083,-1.83499,0.000000,0.31054,0.00000,-1.89577,-1.83499
47,6.8810,-1.89577,1.04083,-1.83499,0.000000,0.31046,0.00000,-1.89577,-1.83499
48,8.4080,-1.85848,1.04083,-1.78379,0.063333,0.31050,0.00000,-1.85848,-1.78379
49,5.4020,-1.85848,1.04083,-1.78379,0.000000,0.31050,0.00000,-1.85848,-1.78379
