frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z,gc0,gc1,gc2,phys_ticks,proc_ms,phys_proc_ms
0,42.2440,-2.35659,1.86358,-2.33456,0.352619,6.02592,0.00000,-2.35587,-2.33358,1,1,1,8,561.3420,16.5870
1,8.3810,-2.30814,1.69463,-2.26937,0.187459,6.32379,0.00000,-2.28428,-2.23727,1,1,1,3,604.8330,14.6890
2,128.4100,-2.17126,1.05705,-2.08520,0.677622,1.52289,0.00000,-2.16498,-2.07675,2,2,1,5,604.8330,14.6890
3,230.2620,-1.97975,1.04083,-1.82752,0.321464,4.30267,0.00000,-1.97410,-1.81991,2,2,1,8,604.8330,14.6890
4,256.0660,-1.78679,1.04083,-1.56789,0.323482,6.01976,0.00000,-1.78322,-1.56308,2,2,1,8,604.8330,14.6890
5,515.9700,-1.61619,1.04083,-1.33835,0.285988,6.06529,0.00000,-1.59233,-1.30625,2,2,1,8,495.5740,26.8170
6,251.0700,-1.42412,1.04083,-1.07992,0.321996,5.36228,0.00000,-1.40145,-1.04941,2,2,1,8,495.5740,26.8170
7,251.2660,-1.22887,1.04083,-0.81720,0.327325,6.03741,0.00000,-1.21057,-0.79258,2,2,1,8,495.5740,26.8170
8,511.1510,-1.02429,1.04083,-0.54195,0.342951,6.13734,0.00000,-1.01968,-0.53574,2,2,1,8,490.1230,4.5030
9,249.6540,-0.85266,1.04083,-0.31101,0.287729,6.43033,0.00000,-0.82880,-0.27891,2,2,1,8,490.1230,4.5030
10,255.1840,-0.66039,1.04083,-0.05232,0.322325,5.39492,0.00000,-0.63792,-0.02208,2,2,1,8,490.1230,4.5030
11,500.1660,-0.44703,1.04083,0.23476,0.357675,6.04359,0.00000,-0.44703,0.23476,2,2,1,8,481.3030,3.0210
12,508.3490,-0.25615,1.04083,0.49159,0.320000,6.70641,0.00000,-0.25615,0.49159,2,2,1,8,481.3030,3.0210
13,604.8500,-0.06535,1.04083,0.74831,0.319856,6.00001,0.00000,-0.06527,0.74843,2,2,1,8,591.4040,3.0370
14,522.9900,0.10400,1.04083,0.97617,0.283901,5.99729,0.00000,0.12562,1.00526,2,2,1,8,591.4040,3.0370
15,616.2310,0.29264,1.04083,1.22999,0.316243,5.32314,0.00000,0.31650,1.26209,2,2,1,8,597.4760,3.1520
16,255.4350,0.49186,1.04083,1.49804,0.333974,5.92956,0.00000,0.50738,1.51893,2,2,1,8,597.4760,3.1520
17,246.3110,0.68279,1.04083,1.75494,0.320084,6.26202,0.00000,0.69827,1.77576,2,2,1,8,230.6700,3.4170
18,255.6720,0.87901,1.04083,2.01895,0.328940,6.00157,0.00000,0.88915,2.03260,2,2,1,8,230.6700,3.4170
19,251.0660,1.07321,1.04083,2.28024,0.325557,6.16763,0.00000,1.08003,2.28943,2,2,1,8,230.6700,3.4170
20,515.2670,1.26310,1.04083,2.53574,0.318335,6.10417,0.00000,1.27092,2.54626,2,2,1,8,230.6700,3.4170
21,248.1220,1.43794,1.04083,2.77099,0.293111,5.96878,0.00000,1.46180,2.80310,2,2,1,8,494.1640,3.1450
22,253.6810,1.62882,1.04083,3.02783,0.320000,5.49583,0.00000,1.64907,3.05632,2,2,1,8,494.1640,3.1450
23,252.2250,1.70951,1.04083,3.12150,0.123636,6.00000,0.00000,1.71461,3.10220,2,2,1,8,494.1640,3.1450
24,259.1950,1.75156,1.04083,2.83407,0.290489,6.00339,0.00000,1.75535,2.80449,2,2,1,8,234.5360,3.2060
25,249.1220,1.79351,1.04083,2.50701,0.329740,6.18750,0.00000,1.79607,2.48710,2,2,1,8,234.5360,3.2060
26,775.4600,1.83655,1.04083,2.17157,0.338190,6.18263,0.00000,1.83679,2.16970,2,2,1,8,234.5360,3.2060
27,490.4590,1.87482,1.04083,1.87325,0.300762,6.34111,0.00000,1.87751,1.85230,2,2,1,8,754.5650,3.2250
28,255.4310,1.91314,1.04083,1.57458,0.301125,5.63928,0.00000,1.91823,1.53490,2,2,1,8,231.3490,2.8430
29,249.7230,1.95385,1.04083,1.25718,0.320001,5.64609,0.00000,1.95894,1.21750,2,2,1,8,231.3490,2.8430
30,505.1480,1.99881,1.04083,0.90678,0.353268,6.00000,0.00000,1.99966,0.90010,2,2,1,8,231.3490,2.8430
31,246.5120,2.03529,1.04083,0.62238,0.286732,6.62376,0.00000,2.04038,0.58270,2,2,1,8,481.4720,2.9990
32,262.0630,2.07753,1.04083,0.29310,0.331978,5.37622,0.00000,2.08110,0.26530,2,2,1,8,481.4720,2.9990
33,514.0750,2.11673,1.04083,-0.01242,0.308022,6.22461,0.00000,2.12182,-0.05209,2,2,1,8,481.4720,2.9990
34,251.4790,2.15879,1.04083,-0.34029,0.330561,5.77541,0.00000,2.16253,-0.36949,2,2,1,8,496.0070,3.1270
35,251.3160,2.20128,1.04083,-0.67150,0.333917,6.19800,0.00000,2.20325,-0.68689,2,2,1,8,496.0070,3.1270
36,515.4140,2.23888,1.04083,-0.96462,0.295522,6.26097,0.00000,2.24397,-1.00429,2,2,1,8,496.0070,3.1270
37,248.9690,2.28132,1.04083,-1.29541,0.333505,5.54103,0.00000,2.28469,-1.32169,2,2,1,8,491.7210,3.3300
38,259.4130,2.31162,1.04083,-1.61008,0.316129,6.25319,0.00000,2.31162,-1.61742,2,2,1,8,491.7210,3.3300
39,506.9120,2.31668,1.04083,-1.66735,0.057488,6.30595,0.00000,2.31793,-1.64561,2,2,1,8,491.7210,3.3300
40,254.9360,2.32723,1.04083,-1.36224,0.305291,5.44086,0.00000,2.32787,-1.34141,2,2,1,8,492.3860,3.1090
41,251.9470,2.33765,1.04083,-1.02659,0.335806,6.35934,0.00000,2.33781,-1.02157,2,2,1,8,492.3860,3.1090
42,512.6070,2.34650,1.04083,-0.74170,0.285030,6.29637,0.00000,2.34774,-0.70172,2,2,1,8,492.3860,3.1090
43,246.6210,2.35697,1.04083,-0.40463,0.337233,5.34427,0.00000,2.35768,-0.38188,2,2,1,8,488.7230,3.0800
44,258.2640,2.36738,1.04083,-0.06969,0.335098,6.32312,0.00000,2.36761,-0.06203,2,2,1,8,488.7230,3.0800
45,507.8500,2.37631,1.04083,0.21784,0.287669,6.28308,0.00000,2.37755,0.25782,2,2,1,8,488.7230,3.0800
46,254.3290,2.38685,1.04083,0.55717,0.339494,5.39380,0.00000,2.38749,0.57766,2,2,1,8,490.2520,3.1240
47,248.3550,2.39686,1.04083,0.87960,0.322592,6.36554,0.00000,2.39742,0.89751,2,2,1,8,490.2520,3.1240
48,256.4920,2.40716,1.04083,1.21103,0.331585,6.04858,0.00000,2.40736,1.21735,2,2,1,8,490.2520,3.1240
49,249.8430,2.41724,1.04083,1.53563,0.324762,6.21722,0.00000,2.41729,1.53720,2,2,1,8,490.2520,3.1240
50,504.5950,2.42598,1.04083,1.81707,0.281568,6.08926,0.00000,2.42723,1.85705,2,2,1,8,483.5510,3.0900
51,500.9340,2.43631,1.04083,2.14941,0.332508,5.27939,0.00000,2.43716,2.17689,2,2,1,8,483.5510,3.0900
52,582.6210,2.44585,1.04083,2.45676,0.307491,6.23456,0.00000,2.44710,2.49674,2,2,1,8,560.5730,2.9630
53,500.7470,2.45455,1.04083,2.78319,0.326548,5.76544,0.00000,2.45455,2.80575,2,2,1,8,560.5730,2.9630
54,697.0330,2.45546,1.04083,2.90145,0.118263,6.23352,0.00000,2.45577,2.88698,2,2,1,8,676.4110,2.8420
55,249.9840,2.45789,1.04083,2.63759,0.263867,5.76651,0.00000,2.45816,2.60192,2,2,1,8,676.4110,2.8420
56,260.2280,2.46039,1.04083,2.30391,0.333692,6.08118,0.00000,2.46055,2.28193,2,2,1,8,236.6520,2.9720
57,496.0930,2.46294,1.04083,1.96194,0.341978,6.25674,0.00000,2.46294,1.96194,2,2,1,8,236.6520,2.9720
58,505.9220,2.46523,1.04083,1.65557,0.306375,6.41205,0.00000,2.46533,1.64195,2,2,1,8,236.6520,2.9720
59,579.4630,2.46761,1.04083,1.33710,0.318480,5.74457,0.00000,2.46772,1.32196,2,2,1,8,562.4460,3.0470
60,255.7810,2.46981,1.04083,1.04197,0.295145,5.97147,0.00000,2.47011,1.00197,2,2,1,8,562.4460,3.0470
61,246.6620,2.47220,1.04083,0.72198,0.320000,5.53397,0.00000,2.47250,0.68198,2,2,1,8,232.1500,2.9910
62,254.8690,2.47459,1.04083,0.40198,0.320000,6.00000,0.00000,2.47489,0.36199,2,2,1,8,232.1500,2.9910
63,250.3510,2.47705,1.04083,0.07199,0.330000,6.00000,0.00000,2.47728,0.04199,2,2,1,8,232.1500,2.9910
64,503.6660,2.47967,1.04083,-0.27800,0.350000,6.18753,0.00000,2.47967,-0.27800,2,2,1,8,232.1500,2.9910
65,517.4670,2.48176,1.04083,-0.55799,0.280000,6.56250,0.00000,2.48206,-0.59799,2,2,1,8,499.9140,3.0900
66,752.9870,2.48415,1.04083,-0.87798,0.320000,5.25000,0.00000,2.48445,-0.91798,2,2,1,8,731.5300,2.9830
67,500.5100,2.48654,1.04083,-1.19797,0.320000,6.00000,0.00000,2.48684,-1.23797,2,2,1,8,731.5300,2.9830
68,722.9520,2.48893,1.04083,-1.54133,0.343363,5.99997,0.00000,2.48893,-1.55435,2,2,1,8,699.1700,3.0330
69,245.3810,2.48908,1.04083,-1.69045,0.149127,6.48157,0.00000,2.48915,-1.68295,2,2,1,8,699.1700,3.0330
70,256.7450,2.48967,1.04083,-1.46350,0.226951,5.51843,0.00000,2.48974,-1.42350,2,2,1,8,234.4380,2.9020
71,252.8140,2.49026,1.04083,-1.13849,0.325011,6.00000,0.00000,2.49032,-1.10350,2,2,1,8,234.4380,2.9020
72,254.0900,2.49086,1.04083,-0.80849,0.330000,6.09396,0.00000,2.49091,-0.78350,2,2,1,8,234.4380,2.9020
73,253.2520,2.49146,1.04083,-0.48049,0.328000,6.18750,0.00000,2.49149,-0.46350,2,2,1,8,234.4380,2.9020
74,256.7700,2.49200,1.04083,-0.18350,0.296990,6.14999,0.00000,2.49207,-0.14350,2,2,1,8,235.8670,3.1640
75,510.9840,2.49263,1.04083,0.16239,0.345898,5.56854,0.00000,2.49266,0.17649,2,2,1,8,235.8670,3.1640
