frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z,gc0,gc1,gc2,phys_ticks,proc_ms,phys_proc_ms
0,60.8920,-2.42745,2.03679,-2.42700,0.145756,0.02497,0.00000,-2.42745,-2.42700,1,1,1,5,8.5310,12.7470
1,20.3090,-2.34388,1.82210,-2.31746,0.255093,4.07054,0.00000,-2.33201,-2.30148,1,1,1,4,8.5310,12.7470
2,49.6190,-2.30814,1.69463,-2.26937,0.140847,2.62668,0.00000,-2.28428,-2.23727,1,1,1,2,8.5310,12.7470
3,7.3140,-2.25152,1.44360,-2.19319,0.268377,1.12332,0.00000,-2.23656,-2.17306,1,1,1,2,8.5310,12.7470
4,4.0080,-2.23656,1.36934,-2.17306,0.078382,1.77972,0.00000,-2.21270,-2.14096,1,1,1,1,8.5310,12.7470
5,4.2130,-2.23067,1.33760,-2.16513,0.033247,0.47028,0.00000,-2.21270,-2.14096,1,1,1,0,8.5310,12.7470
6,10.3920,-2.20847,1.21637,-2.13527,0.126812,0.18537,0.00000,-2.18884,-2.10885,1,1,1,1,8.5310,12.7470
7,3.4420,-2.19896,1.16119,-2.12247,0.057433,0.69761,0.00000,-2.18884,-2.10885,1,1,1,0,8.5310,12.7470
8,6.9780,-2.18942,1.10582,-2.10963,0.057638,0.29893,0.00000,-2.18884,-2.10885,1,1,1,0,8.5310,12.7470
9,24.8170,-2.17985,1.07926,-2.09676,0.031025,0.30000,0.00000,-2.16498,-2.07675,1,1,1,1,8.5310,12.7470
10,1.0250,-2.16792,1.04843,-2.08071,0.036744,0.30062,0.00000,-2.16498,-2.07675,1,1,1,0,8.5310,12.7470
11,10.6630,-2.15599,1.04083,-2.06465,0.021396,0.37500,0.00000,-2.14112,-2.04464,1,1,1,1,8.5310,12.7470
12,2.8460,-2.14455,1.04083,-2.04926,0.019181,0.37500,0.00000,-2.14112,-2.04464,1,1,1,0,8.5310,12.7470
13,10.1030,-2.13262,1.04083,-2.03321,0.020000,0.35964,0.00000,-2.11726,-2.01254,1,1,1,1,8.5310,12.7470
14,2.0750,-2.12178,1.04083,-2.01862,0.018182,0.37500,0.00000,-2.11726,-2.01254,1,1,1,0,8.5310,12.7470
15,9.1480,-2.10985,1.04083,-2.00256,0.020000,0.34091,0.00000,-2.09340,-1.98044,1,1,1,1,8.5310,12.7470
16,2.0950,-2.09948,1.04083,-1.98861,0.017383,0.37500,0.00000,-2.09340,-1.98044,1,1,1,0,8.5310,12.7470
17,7.7880,-2.09261,1.04083,-1.97937,0.011518,0.32593,0.00000,-2.06954,-1.94833,1,1,1,1,8.5310,12.7470
18,0.9170,-2.08659,1.04083,-1.97127,0.010089,0.21596,0.00000,-2.06954,-1.94833,1,1,1,0,8.5310,12.7470
19,3.2440,-2.08203,1.04083,-1.96513,0.007645,0.18918,0.00000,-2.06954,-1.94833,1,1,1,0,8.5310,12.7470
20,2.7720,-2.07800,1.04083,-1.95972,0.006751,0.14332,0.00000,-2.06954,-1.94833,1,1,1,0,8.5310,12.7470
21,2.8330,-2.07396,1.04083,-1.95427,0.006780,0.12659,0.00000,-2.06954,-1.94833,1,1,1,0,8.5310,12.7470
22,2.8490,-2.06998,1.04083,-1.94892,0.006667,0.12712,0.00000,-2.06954,-1.94833,1,1,1,0,8.5310,12.7470
23,6.0390,-2.06600,1.04083,-1.94357,0.006666,0.12500,0.00000,-2.04568,-1.91623,1,1,1,1,8.5310,12.7470
24,0.9380,-2.06203,1.04083,-1.93822,0.006667,0.12500,0.00000,-2.04568,-1.91623,1,1,1,0,8.5310,12.7470
25,3.2810,-2.05805,1.04083,-1.93287,0.006667,0.12500,0.00000,-2.04568,-1.91623,1,1,1,0,8.5310,12.7470
26,2.7990,-2.05328,1.04083,-1.92645,0.008000,0.12500,0.00000,-2.04568,-1.91623,1,1,1,0,8.5310,12.7470
27,2.8650,-2.04894,1.04083,-1.92061,0.007273,0.15000,0.00000,-2.04568,-1.91623,1,1,1,0,8.5310,12.7470
28,6.0820,-2.04460,1.04083,-1.91478,0.007273,0.13636,0.00000,-2.02182,-1.88412,1,1,1,1,8.5310,12.7470
29,0.9150,-2.04026,1.04083,-1.90894,0.007273,0.13636,0.00000,-2.02182,-1.88412,1,1,1,0,8.5310,12.7470
30,3.2130,-2.03592,1.04083,-1.90310,0.007273,0.13636,0.00000,-2.02182,-1.88412,1,1,1,0,8.5310,12.7470
31,2.8260,-2.03159,1.04083,-1.89726,0.007273,0.13636,0.00000,-2.02182,-1.88412,1,1,1,0,8.5310,12.7470
32,2.8400,-2.02725,1.04083,-1.89143,0.007273,0.13636,0.00000,-2.02182,-1.88412,1,1,1,0,8.5310,12.7470
