frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z,gc0,gc1,gc2,phys_ticks,proc_ms,phys_proc_ms
0,49.5020,-2.45134,2.07522,-2.45134,0.094511,0.01706,0.00000,-2.45134,-2.45134,1,1,1,4,571.2840,17.3280
1,23.5400,-2.37712,1.92246,-2.36218,0.191815,3.74724,0.00000,-2.35587,-2.33358,1,1,1,4,571.2840,17.3280
2,50.8650,-2.33201,1.78307,-2.30148,0.158590,2.33186,0.00000,-2.30814,-2.26937,1,1,1,2,571.2840,17.3280
3,8.2360,-2.27137,1.53751,-2.21989,0.265762,1.41815,0.00000,-2.26042,-2.20517,1,1,1,2,571.2840,17.3280
4,4.3400,-2.25980,1.48468,-2.20433,0.056275,1.90596,0.00000,-2.23656,-2.17306,1,1,1,1,571.2840,17.3280
5,0.8350,-2.25365,1.45415,-2.19605,0.032228,0.36360,0.00000,-2.23656,-2.17306,1,1,1,0,571.2840,17.3280
6,0.3990,-2.25303,1.45106,-2.19521,0.003263,0.19337,0.00000,-2.23656,-2.17306,1,1,1,0,571.2840,17.3280
7,0.3450,-2.24706,1.42145,-2.18719,0.031251,0.01957,0.00000,-2.23656,-2.17306,1,1,1,0,571.2840,17.3280
8,0.4180,-2.24229,1.39777,-2.18077,0.025001,0.18750,0.00000,-2.23656,-2.17306,1,1,1,0,571.2840,17.3280
9,0.5190,-2.23926,1.38273,-2.17669,0.015873,0.15000,0.00000,-2.23656,-2.17306,1,1,1,0,571.2840,17.3280
10,0.5100,-2.23855,1.37918,-2.17573,0.003743,0.09523,0.00000,-2.23656,-2.17306,1,1,1,0,571.2840,17.3280
11,0.5080,-2.23781,1.37552,-2.17474,0.003863,0.02246,0.00000,-2.23656,-2.17306,1,1,1,0,571.2840,17.3280
12,0.5300,-2.23704,1.37173,-2.17371,0.004005,0.02317,0.00000,-2.23656,-2.17306,1,1,1,0,571.2840,17.3280
13,4.2100,-2.23631,1.36800,-2.17273,0.003924,0.02403,0.00000,-2.21270,-2.14096,1,1,1,1,571.2840,17.3280
14,1.7370,-2.23366,1.35373,-2.16916,0.014946,0.02295,0.00000,-2.21270,-2.14096,1,1,1,0,571.2840,17.3280
15,0.4720,-2.23101,1.33946,-2.16559,0.014946,0.08333,0.00000,-2.21270,-2.14096,1,1,1,0,571.2840,17.3280
16,0.3990,-2.22836,1.32519,-2.16202,0.014946,0.08333,0.00000,-2.21270,-2.14096,1,1,1,0,571.2840,17.3280
17,0.3720,-2.22675,1.31654,-2.15986,0.009059,0.08333,0.00000,-2.21270,-2.14096,1,1,1,0,571.2840,17.3280
18,0.3990,-2.22618,1.31346,-2.15909,0.003228,0.05051,0.00000,-2.21270,-2.14096,1,1,1,0,571.2840,17.3280
19,0.5010,-2.22546,1.30958,-2.15812,0.004060,0.01800,0.00000,-2.21270,-2.14096,1,1,1,0,571.2840,17.3280
20,0.5260,-2.22470,1.30551,-2.15711,0.004261,0.02264,0.00000,-2.21270,-2.14096,1,1,1,0,571.2840,17.3280
21,0.4860,-2.22401,1.30176,-2.15617,0.003931,0.02376,0.00000,-2.21270,-2.14096,1,1,1,0,571.2840,17.3280
22,0.5040,-2.22329,1.29788,-2.15520,0.004068,0.02191,0.00000,-2.21270,-2.14096,1,1,1,0,571.2840,17.3280
23,0.5040,-2.22256,1.29399,-2.15423,0.004068,0.02268,0.00000,-2.21270,-2.14096,1,1,1,0,571.2840,17.3280
24,0.5450,-2.22179,1.28981,-2.15318,0.004382,0.02268,0.00000,-2.21270,-2.14096,1,1,1,0,571.2840,17.3280
25,0.4710,-2.22170,1.28935,-2.15307,0.000476,0.02444,0.00000,-2.21270,-2.14096,1,1,1,0,571.2840,17.3280
26,0.5160,-2.22161,1.28886,-2.15294,0.000513,0.00266,0.00000,-2.21270,-2.14096,1,1,1,0,571.2840,17.3280
27,0.4940,-2.22152,1.28838,-2.15282,0.000502,0.00286,0.00000,-2.21270,-2.14096,1,1,1,0,571.2840,17.3280
28,0.5010,-2.22143,1.28790,-2.15270,0.000505,0.00280,0.00000,-2.21270,-2.14096,1,1,1,0,571.2840,17.3280
29,0.5290,-2.22134,1.28739,-2.15258,0.000535,0.00282,0.00000,-2.21270,-2.14096,1,1,1,0,571.2840,17.3280
