frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z,gc0,gc1,gc2,phys_ticks,proc_ms,phys_proc_ms
0,55.1040,-2.43799,2.05374,-2.43774,0.123136,0.02439,0.00000,-2.42745,-2.42700,1,1,1,5,8.4190,12.8080
1,18.2530,-2.35587,1.86150,-2.33358,0.233562,3.75502,0.00000,-2.33201,-2.30148,1,1,1,4,8.4190,12.8080
2,7.7130,-2.33201,1.78307,-2.30148,0.088042,2.58086,0.00000,-2.30814,-2.26937,1,1,1,1,8.4190,12.8080
3,4.2600,-2.32633,1.76203,-2.29384,0.023084,0.75000,0.00000,-2.30814,-2.26937,1,1,1,0,8.4190,12.8080
4,48.7790,-2.30814,1.69463,-2.26937,0.073973,0.17838,0.00000,-2.28428,-2.23727,1,1,1,1,8.4190,12.8080
5,4.7460,-2.26709,1.51807,-2.21413,0.189508,0.57162,0.00000,-2.26042,-2.20517,1,1,1,1,8.4190,12.8080
6,6.5170,-2.24454,1.40891,-2.18379,0.115517,1.29047,0.00000,-2.23656,-2.17306,1,1,1,1,8.4190,12.8080
7,7.3820,-2.22465,1.30523,-2.15703,0.108911,0.70895,0.00000,-2.21270,-2.14096,1,1,1,1,8.4190,12.8080
8,6.8510,-2.21211,1.23746,-2.14016,0.070951,0.62500,0.00000,-2.18884,-2.10885,1,1,1,1,8.4190,12.8080
9,4.3070,-2.20189,1.17819,-2.12641,0.061695,0.39427,0.00000,-2.18884,-2.10885,1,1,1,0,8.4190,12.8080
10,6.9010,-2.19202,1.12092,-2.11313,0.059612,0.32112,0.00000,-2.18884,-2.10885,1,1,1,0,8.4190,12.8080
11,23.9890,-2.18291,1.08714,-2.10087,0.037077,0.31028,0.00000,-2.16498,-2.07675,1,1,1,1,8.4190,12.8080
12,0.9830,-2.17098,1.05632,-2.08481,0.036744,0.28652,0.00000,-2.16498,-2.07675,1,1,1,0,8.4190,12.8080
13,10.5140,-2.15905,1.04083,-2.06876,0.025295,0.37500,0.00000,-2.14112,-2.04464,1,1,1,1,8.4190,12.8080
14,2.9420,-2.14712,1.04083,-2.05271,0.020000,0.37500,0.00000,-2.14112,-2.04464,1,1,1,0,8.4190,12.8080
15,10.3490,-2.13519,1.04083,-2.03666,0.020000,0.37500,0.00000,-2.11726,-2.01254,1,1,1,1,8.4190,12.8080
16,3.6380,-2.12326,1.04083,-2.02061,0.020000,0.37500,0.00000,-2.11726,-2.01254,1,1,1,0,8.4190,12.8080
17,9.6130,-2.11133,1.04083,-2.00455,0.020000,0.37500,0.00000,-2.09340,-1.98044,1,1,1,1,8.4190,12.8080
18,3.0970,-2.09939,1.04083,-1.98850,0.020000,0.37500,0.00000,-2.09340,-1.98044,1,1,1,0,8.4190,12.8080
19,10.2480,-2.08896,1.04083,-1.97446,0.017491,0.37500,0.00000,-2.06954,-1.94833,1,1,1,1,8.4190,12.8080
20,3.0860,-2.07972,1.04083,-1.96203,0.015485,0.32794,0.00000,-2.06954,-1.94833,1,1,1,0,8.4190,12.8080
21,6.9240,-2.06985,1.04083,-1.94875,0.016548,0.29034,0.00000,-2.06954,-1.94833,1,1,1,0,8.4190,12.8080
