frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z,gc0,gc1,gc2,phys_ticks,proc_ms,phys_proc_ms
0,851.9590,-2.35587,1.86150,-2.33358,0.355012,6.52228,0.00000,-2.35587,-2.33358,1,1,1,8,10.1320,12.9460
1,19.3920,-2.23656,1.36934,-2.17306,0.531240,6.00000,0.00000,-2.21270,-2.14096,1,1,1,6,1080.4449,16.0840
2,6.8290,-2.20983,1.22427,-2.13710,0.151833,3.75000,0.00000,-2.18884,-2.10885,1,1,1,1,1080.4449,16.0840
3,1.4090,-2.20215,1.17970,-2.12676,0.046393,0.84015,0.00000,-2.18884,-2.10885,1,1,1,0,1080.4449,16.0840
4,194.7740,-1.99796,1.04083,-1.85202,0.369410,0.24147,0.00000,-1.99796,-1.85202,2,2,1,8,1080.4449,16.0840
5,13.8110,-1.91809,1.04083,-1.74455,0.133899,6.41838,0.00000,-1.90252,-1.72360,2,2,1,4,1080.4449,16.0840
6,4.0830,-1.90131,1.04083,-1.72197,0.028128,2.51061,0.00000,-1.87866,-1.69150,2,2,1,1,1080.4449,16.0840
7,209.3010,-1.68777,1.04083,-1.43466,0.357973,0.52740,0.00000,-1.68777,-1.43466,2,2,1,8,1080.4449,16.0840
8,245.1300,-1.49689,1.04083,-1.17783,0.320000,6.71199,0.00000,-1.49689,-1.17783,2,2,1,8,228.4030,14.6830
9,8.6480,-1.44917,1.04083,-1.11362,0.080000,6.00000,0.00000,-1.42531,-1.08152,2,2,1,3,228.4030,14.6830
10,1.2960,-1.44760,1.04083,-1.11151,0.002626,1.50000,0.00000,-1.42531,-1.08152,2,2,1,0,228.4030,14.6830
11,517.9420,-1.24007,1.04083,-0.83228,0.347907,0.04923,0.00000,-1.23443,-0.82468,2,2,1,8,228.4030,14.6830
12,248.5340,-1.06740,1.04083,-0.59995,0.289468,6.52324,0.00000,-1.04354,-0.56785,2,2,1,8,228.4030,14.6830
13,252.1230,-1.11021,1.04081,-0.65756,0.071770,5.42752,0.10499,-1.16284,-0.72837,2,2,1,8,494.9140,3.1420
14,4.3320,-1.09675,1.04081,-0.63944,0.022567,6.00000,0.08596,-1.13898,-0.69627,2,2,1,1,494.9140,3.1420
15,3.6440,-1.08771,1.04080,-0.62728,0.015158,0.95783,0.07037,-1.11512,-0.66416,2,2,1,1,494.9140,3.1420
16,241.2940,-0.91590,1.04080,-0.39610,0.288034,0.54217,0.01421,-0.92424,-0.40733,2,2,1,8,494.9140,3.1420
17,255.8070,-0.73165,1.04080,-0.14819,0.308879,6.74554,0.00287,-0.73336,-0.15049,2,2,1,8,494.9140,3.1420
18,247.4210,-1.05629,1.04080,-0.58500,0.544241,6.00446,0.21863,-1.18671,-0.76047,2,2,1,8,494.9140,3.1420
19,6.8450,-1.05416,1.04080,-0.58213,0.003580,6.00000,0.14655,-1.13898,-0.69627,2,2,1,2,231.5950,3.8530
20,256.8550,-0.93633,1.04080,-0.42359,0.197533,1.06884,0.02959,-0.94810,-0.43943,2,2,1,8,231.5950,3.8530
21,245.5550,-0.75995,1.04080,-0.18627,0.295684,6.21036,0.00597,-0.75722,-0.18260,2,2,1,8,231.5950,3.8530
22,256.5920,-0.57080,1.04080,0.06823,0.317092,6.01625,0.00121,-0.56633,0.07424,2,2,1,8,231.5950,3.8530
23,6.5710,-0.68486,1.04080,-0.08524,0.191221,6.04053,0.72475,-1.16284,-0.72837,2,2,1,2,231.5950,3.8530
24,3.4630,-0.73052,1.04080,-0.14668,0.076542,1.18747,0.59338,-1.13898,-0.69627,2,2,1,1,231.5950,3.8530
25,499.0620,-0.87972,1.04080,-0.34742,0.250112,0.47654,0.11980,-0.94810,-0.43943,2,2,1,8,231.5950,3.8530
26,252.1490,-0.76346,1.04080,-0.19099,0.194900,6.46289,0.02419,-0.75722,-0.18260,2,2,1,8,478.8300,2.9620
27,248.5660,-0.58664,1.04080,0.04692,0.296422,5.53711,0.00488,-0.56633,0.07424,2,2,1,8,478.8300,2.9620
28,3.9200,-0.56342,1.04080,0.07816,0.038919,6.00000,0.00400,-0.54247,0.10634,2,2,1,1,478.8300,2.9620
29,1.1810,-0.55928,1.04080,0.08373,0.006945,0.75002,0.00400,-0.54247,0.10634,2,2,1,0,478.8300,2.9620
30,515.6630,-0.35835,1.04080,0.35408,0.336842,0.13315,0.00000,-0.35159,0.36317,2,2,1,8,478.8300,2.9620
31,247.3250,-0.66993,1.04080,-0.06516,0.522345,6.40439,0.21805,-0.80494,-0.24681,2,2,1,8,492.2780,3.6500
32,253.7380,-0.94740,1.04080,-0.43848,0.465141,5.46245,0.19746,-1.06740,-0.59995,2,2,1,8,492.2780,3.6500
33,4.3880,-0.94894,1.04080,-0.44056,0.002594,6.00002,0.16167,-1.04354,-0.56785,2,2,1,1,492.2780,3.6500
34,3.8430,-0.94710,1.04080,-0.43809,0.003081,0.95058,0.13236,-1.01968,-0.53574,2,2,1,1,492.2780,3.6500
35,503.4160,-0.82017,1.04080,-0.26730,0.212799,0.54942,0.02672,-0.82880,-0.27891,2,2,1,8,492.2780,3.6500
36,253.0400,-0.65785,1.04080,-0.04889,0.272121,6.48032,0.00540,-0.63792,-0.02208,2,2,1,8,482.7280,3.3280
37,250.3610,-0.47010,1.04080,0.20372,0.314741,5.51968,0.00109,-0.44703,0.23476,2,2,1,8,482.7280,3.3280
38,4.1910,-0.44240,1.04080,0.24099,0.046435,5.99998,0.00000,-0.42317,0.26686,2,2,1,1,482.7280,3.3280
39,1.1900,-0.43695,1.04080,0.24833,0.009145,0.87869,0.00000,-0.42317,0.26686,2,2,1,0,482.7280,3.3280
40,245.8660,-0.23988,1.04080,0.51349,0.330370,0.17627,0.00000,-0.23229,0.52370,2,2,1,8,229.0320,3.4690
41,248.2800,-0.04853,1.04080,0.77095,0.320785,6.20656,0.00000,-0.04141,0.78053,2,2,1,8,229.0320,3.4690
42,252.4520,0.14362,1.04080,1.02949,0.322122,6.01472,0.00000,0.14948,1.03736,2,2,1,8,229.0320,3.4690
43,7.4590,0.18025,1.04080,1.07877,0.061397,6.03978,0.00000,0.19720,1.10157,2,2,1,2,229.0320,3.4690
44,4.2400,0.19720,1.04080,1.10157,0.028416,1.15118,0.00000,0.22106,1.13368,2,2,1,1,229.0320,3.4690
45,240.2200,0.41025,1.04080,1.38823,0.357159,0.53279,0.00000,0.41194,1.39051,2,2,1,8,229.0320,3.4690
46,251.0800,0.60195,1.04080,1.64616,0.321368,6.69675,0.00000,0.60282,1.64734,2,2,1,8,229.0320,3.4690
47,247.5100,0.79371,1.04080,1.90418,0.321473,6.02563,0.00000,0.79371,1.90418,2,2,1,8,229.7360,3.4660
48,5.9360,0.82508,1.04080,1.94639,0.052594,6.02762,0.00000,0.84143,1.96839,2,2,1,2,229.7360,3.4660
49,3.4330,0.84143,1.04080,1.96839,0.027406,0.98615,0.00000,0.86529,2.00049,2,2,1,1,229.7360,3.4660
50,503.7520,1.04947,1.04080,2.24831,0.348770,0.51387,0.00000,1.05617,2.25732,2,2,1,8,229.7360,3.4660
51,248.3280,1.22320,1.04080,2.48206,0.291232,6.53941,0.00000,1.24706,2.51416,2,2,1,8,229.7360,3.4660
52,255.0540,1.41408,1.04080,2.73889,0.320000,5.46057,0.00000,1.43794,2.77099,2,2,1,8,482.0190,3.2610
53,4.0510,1.44540,1.04080,2.78103,0.052502,6.00000,0.00000,1.46180,2.80310,2,2,1,1,482.0190,3.2610
54,241.8130,1.64493,1.04080,3.05050,0.335304,0.98442,0.00000,1.64907,3.05632,2,2,1,8,482.0190,3.2610
55,7.6630,1.66778,1.04080,3.08458,0.041030,6.36230,0.00000,1.67874,3.10247,2,2,1,2,482.0190,3.2610
