frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z,gc0,gc1,gc2,phys_ticks,proc_ms,phys_proc_ms
0,746.7240,-2.37973,1.92993,-2.36569,0.276833,5.97274,0.00000,-2.35587,-2.33358,1,1,1,8,761.0950,12.8950
1,13.9670,-2.26042,1.48777,-2.20517,0.485284,6.00000,0.00000,-2.23656,-2.17306,1,1,1,5,42.1360,15.2690
2,1.3100,-2.25274,1.44963,-2.19483,0.040256,3.75000,0.00000,-2.23656,-2.17306,1,1,1,0,42.1360,15.2690
3,251.6630,-2.04568,1.04083,-1.91623,0.536293,0.24153,0.00000,-2.04568,-1.91623,2,2,1,8,42.1360,15.2690
4,11.3120,-1.97410,1.04083,-1.81991,0.120000,6.50847,0.00000,-1.95024,-1.78781,2,2,1,4,42.1360,15.2690
5,1.5730,-1.96946,1.04083,-1.81368,0.007773,2.25000,0.00000,-1.95024,-1.78781,2,2,1,0,42.1360,15.2690
6,219.9620,-1.75935,1.04083,-1.53098,0.352227,0.14574,0.00000,-1.75935,-1.53098,2,2,1,8,42.1360,15.2690
7,6.2300,-1.72368,1.04083,-1.48297,0.059812,6.60426,0.00000,-1.71163,-1.46677,2,2,1,2,42.1360,15.2690
8,3.5170,-1.71163,1.04083,-1.46677,0.020188,1.12148,0.00000,-1.68777,-1.43466,2,2,1,1,42.1360,15.2690
9,237.6260,-1.49689,1.04083,-1.17783,0.360000,0.37853,0.00000,-1.49689,-1.17783,2,2,1,8,42.1360,15.2690
10,57.8390,-1.40145,1.04083,-1.04941,0.160000,6.75000,0.00000,-1.37759,-1.01731,2,2,1,5,42.1360,15.2690
11,193.8940,-1.18671,1.04083,-0.76047,0.360000,3.00000,0.00000,-1.18671,-0.76047,2,2,1,8,218.5000,12.1810
12,9.8660,-1.13898,1.04083,-0.69627,0.080000,6.75000,0.00000,-1.11512,-0.66416,2,2,1,3,218.5000,12.1810
13,1.1090,-1.13757,1.04083,-0.69437,0.002367,1.50000,0.00000,-1.11512,-0.66416,2,2,1,0,218.5000,12.1810
14,241.0840,-0.92424,1.04083,-0.40733,0.357633,0.04439,0.00000,-0.92424,-0.40733,2,2,1,8,218.5000,12.1810
15,514.0150,-0.75722,1.04080,-0.18260,0.280000,6.70561,0.00000,-0.73336,-0.15049,2,2,1,8,218.5000,12.1810
16,250.5430,-0.56451,1.04080,0.07669,0.323058,5.25000,0.00000,-0.54247,0.10634,2,2,1,8,218.5000,12.1810
17,249.1710,-0.37259,1.04080,0.33492,0.321738,6.05733,0.00000,-0.35159,0.36317,2,2,1,8,496.0700,3.5800
18,3.6220,-0.34291,1.04080,0.37486,0.049761,6.03258,0.00000,-0.32773,0.39528,2,2,1,1,496.0700,3.5800
19,251.8330,-0.13685,1.04080,0.65211,0.345443,0.93303,0.00000,-0.13685,0.65211,2,2,1,8,496.0700,3.5800
20,8.6320,-0.12059,1.04080,0.67398,0.027251,6.47706,0.08781,-0.16071,0.62001,2,2,1,3,496.0700,3.5800
21,1.1490,-0.11813,1.04080,0.67729,0.004123,1.50000,0.08781,-0.16071,0.62001,2,2,1,0,496.0700,3.5800
22,235.4340,0.04075,1.04080,0.89107,0.266354,0.15042,0.01773,0.03017,0.87684,2,2,1,8,496.0700,3.5800
23,7.9310,0.07186,1.04080,0.93293,0.052152,6.59959,0.01188,0.07790,0.94105,2,2,1,2,496.0700,3.5800
24,522.1850,0.26936,1.04080,1.19867,0.331094,1.05840,0.00240,0.26878,1.19788,2,2,1,8,496.0700,3.5800
25,254.9390,0.43580,1.04080,1.42261,0.279025,6.41454,0.00000,0.45966,1.45472,2,2,1,8,504.5110,3.1120
26,246.8330,0.48308,1.04080,1.48622,0.079254,5.27706,0.06461,0.45966,1.45472,2,2,1,8,504.5110,3.1120
27,3.5390,0.50347,1.04080,1.51367,0.034192,6.01002,0.05290,0.48352,1.48682,2,2,1,1,504.5110,3.1120
28,3.2900,0.51508,1.04080,1.52928,0.019449,0.97435,0.04331,0.50738,1.51893,2,2,1,1,231.4220,3.3260
29,243.9390,0.70348,1.04080,1.78278,0.315848,0.51564,0.00874,0.69827,1.77576,2,2,1,8,231.4220,3.3260
30,7.8240,0.71326,1.04080,1.79593,0.016390,6.75000,0.11311,0.65055,1.71155,2,2,1,2,231.4220,3.3260
31,241.0480,0.85505,1.04080,1.98672,0.237704,1.09986,0.02284,0.84143,1.96839,2,2,1,8,231.4220,3.3260
32,6.4430,0.88278,1.04080,2.02403,0.046492,6.40013,0.01531,0.88915,2.03260,2,2,1,2,231.4220,3.3260
33,528.9520,1.07926,1.04080,2.28838,0.329370,0.96780,0.00309,1.08003,2.28943,2,2,1,8,231.4220,3.3260
34,244.8200,1.01382,1.04080,2.20033,0.109706,6.44843,0.10561,0.96073,2.12891,2,2,1,8,504.7340,3.0460
35,252.0820,1.07138,1.04080,2.27779,0.096506,5.33377,0.05363,1.05617,2.25732,2,2,1,8,504.7340,3.0460
36,3.5910,1.08833,1.04080,2.30060,0.028417,6.00002,0.17490,0.98459,2.16101,2,2,1,1,504.7340,3.0460
37,244.8310,1.19447,1.04080,2.44341,0.177930,0.92035,0.03531,1.17547,2.41785,2,2,1,8,504.7340,3.0460
38,8.0840,1.22180,1.04080,2.48018,0.045814,6.49884,0.02367,1.22320,2.48205,2,2,1,2,504.7340,3.0460
39,5.0670,1.23731,1.04080,2.50105,0.026011,1.01956,0.01938,1.24706,2.51416,2,2,1,1,504.7340,3.0460
40,237.4660,1.43898,1.04080,2.77239,0.338069,0.56123,0.00391,1.43794,2.77099,2,2,1,8,504.7340,3.0460
41,517.9710,1.62584,1.04080,3.02381,0.313261,6.70834,0.00000,1.62882,3.02783,2,2,1,8,496.4380,3.2290
42,247.7000,1.70434,1.04080,3.13395,0.135247,5.94791,0.00000,1.70949,3.12159,2,2,1,8,496.4380,3.2290
43,252.0100,1.74517,1.04080,2.88384,0.253412,5.34375,0.00000,1.75026,2.84417,2,2,1,8,496.4380,3.2290
44,3.4150,1.75142,1.04080,2.83512,0.049125,6.00002,0.00000,1.75535,2.80449,2,2,1,1,231.3080,3.0830
45,0.9380,1.75240,1.04080,2.82747,0.007709,0.92108,0.00000,1.75535,2.80449,2,2,1,0,231.3080,3.0830
46,501.8840,1.79607,1.04080,2.48710,0.343165,0.14453,0.00000,1.79607,2.48710,2,2,1,8,231.3080,3.0830
47,255.0250,1.83361,1.04080,2.19448,0.295020,6.43439,0.00000,1.83679,2.16970,2,2,1,8,231.3080,3.0830
