frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z,gc0,gc1,gc2,phys_ticks,proc_ms,phys_proc_ms
0,45.0780,-2.36226,1.87982,-2.34218,0.334024,6.03862,0.00000,-2.35587,-2.33358,1,1,1,8,608.1560,2.9940
1,8.8600,-2.30814,1.69463,-2.26937,0.206213,5.79914,0.00000,-2.28428,-2.23727,1,1,1,3,608.1560,2.9940
2,100.6500,-2.18884,1.10248,-2.10885,0.625017,1.70086,0.00000,-2.18884,-2.10885,2,2,1,4,608.1560,2.9940
3,264.5920,-1.99796,1.04083,-1.85202,0.325885,3.75000,0.00000,-1.99796,-1.85202,2,2,1,8,608.1560,2.9940
4,237.6230,-1.80708,1.04083,-1.59518,0.320000,6.00000,0.00000,-1.80708,-1.59518,2,2,1,8,231.2850,18.7300
5,255.1000,-1.61619,1.04083,-1.33835,0.320000,6.00000,0.00000,-1.61619,-1.33835,2,2,1,8,231.2850,18.7300
6,517.8840,-1.44917,1.04083,-1.11362,0.280000,6.00000,0.00000,-1.42531,-1.08152,2,2,1,8,231.2850,18.7300
7,240.9520,-1.25297,1.04083,-0.84964,0.328909,5.25000,0.00000,-1.23443,-0.82468,2,2,1,8,487.6260,4.3810
8,260.5950,-1.05422,1.04083,-0.58221,0.333198,6.16704,0.00000,-1.04354,-0.56785,2,2,1,8,487.6260,4.3810
9,510.3700,-0.87652,1.04083,-0.34312,0.297894,6.24746,0.00000,-0.85266,-0.31101,2,2,1,8,487.6260,4.3810
10,251.7010,-0.68022,1.04083,-0.07900,0.329073,5.58551,0.00000,-0.66178,-0.05418,2,2,1,8,491.4690,3.1160
11,244.8210,-0.48913,1.04083,0.17812,0.320355,6.17011,0.00000,-0.47089,0.20265,2,2,1,8,491.4690,3.1160
12,255.9210,-0.29171,1.04083,0.44374,0.330951,6.00666,0.00000,-0.28001,0.45949,2,2,1,8,491.4690,3.1160
13,252.7280,-0.09773,1.04083,0.70475,0.325206,6.20533,0.00000,-0.08913,0.71632,2,2,1,8,491.4690,3.1160
14,528.0910,0.10148,1.04083,0.97279,0.333957,6.09761,0.00000,0.10176,0.97315,2,2,1,8,500.7500,3.2010
15,493.7570,0.29216,1.04083,1.22935,0.319657,6.26169,0.00000,0.29264,1.22999,2,2,1,8,500.7500,3.2010
16,250.1950,0.45966,1.04083,1.45472,0.280802,5.99357,0.00000,0.48352,1.48682,2,2,1,8,477.3760,3.0630
17,254.2200,0.65943,1.04083,1.72351,0.334894,5.26503,0.00000,0.67441,1.74366,2,2,1,8,477.3760,3.0630
18,498.4890,0.86529,1.04083,2.00049,0.345106,6.27927,0.00000,0.86529,2.00049,2,2,1,8,477.3760,3.0630
19,530.8340,1.03231,1.04083,2.22522,0.280000,6.47073,0.00000,1.05617,2.25732,2,2,1,8,513.3470,3.0660
20,258.1440,1.23051,1.04083,2.49190,0.332262,5.25001,0.00000,1.24706,2.51416,2,2,1,8,513.3470,3.0660
21,247.2750,1.42454,1.04083,2.75296,0.325274,6.22989,0.00000,1.43794,2.77099,2,2,1,8,513.3470,3.0660
22,522.1640,1.60496,1.04083,2.99572,0.302465,6.09892,0.00000,1.62882,3.02783,2,2,1,8,498.2320,3.0380
23,246.3940,1.70434,1.04083,3.13395,0.170241,5.67119,0.00000,1.70949,3.12159,2,2,1,8,498.2320,3.0380
24,257.1050,1.74517,1.04083,2.88384,0.253412,6.00000,0.00000,1.75026,2.84417,2,2,1,8,498.2320,3.0380
25,248.6600,1.78589,1.04083,2.56645,0.319999,6.00000,0.00000,1.79098,2.52677,2,2,1,8,233.9200,3.1540
26,255.8600,1.82788,1.04083,2.23913,0.329999,6.00000,0.00000,1.83170,2.20937,2,2,1,8,233.9200,3.1540
27,248.3560,1.86962,1.04083,1.91380,0.328000,6.18752,0.00000,1.87242,1.89197,2,2,1,8,233.9200,3.1540
28,255.7810,1.91118,1.04083,1.58978,0.326667,6.14999,0.00000,1.91314,1.57458,2,2,1,8,233.9200,3.1540
29,249.6670,1.95263,1.04083,1.26672,0.325714,6.12500,0.00000,1.95385,1.25718,2,2,1,8,235.3380,3.1930
30,261.0090,1.98948,1.04083,0.97945,0.289620,6.10715,0.00000,1.99457,0.93978,2,2,1,8,235.3380,3.1930
31,503.8330,2.03529,1.04083,0.62238,0.360000,5.43034,0.00000,2.03529,0.62238,2,2,1,8,235.3380,3.1930
32,251.7780,2.07240,1.04083,0.33312,0.291625,6.75000,0.00000,2.07601,0.30498,2,2,1,8,486.0230,3.1420
