frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z,gc0,gc1,gc2,phys_ticks,proc_ms,phys_proc_ms
0,57.9290,-2.43339,2.04634,-2.43305,0.133007,0.06250,0.00000,-2.42745,-2.42700,1,1,1,5,8.7440,13.1900
1,18.3430,-2.35404,1.85550,-2.33113,0.230449,4.17457,0.00000,-2.33201,-2.30148,1,1,1,4,8.7440,13.1900
2,7.5620,-2.32936,1.77325,-2.29792,0.092066,2.49381,0.00000,-2.30814,-2.26937,1,1,1,1,8.7440,13.1900
3,48.8370,-2.30814,1.69463,-2.26937,0.086288,0.77585,0.00000,-2.28428,-2.23727,1,1,1,1,8.7440,13.1900
4,7.9030,-2.25380,1.45492,-2.19626,0.256440,0.66678,0.00000,-2.23656,-2.17306,1,1,1,2,8.7440,13.1900
5,4.0150,-2.23047,1.33655,-2.16486,0.124670,1.70805,0.00000,-2.21270,-2.14096,1,1,1,1,8.7440,13.1900
6,4.4100,-2.21997,1.28003,-2.15074,0.059192,0.73347,0.00000,-2.21270,-2.14096,1,1,1,0,8.7440,13.1900
7,10.3380,-2.20973,1.22369,-2.13696,0.058896,0.33003,0.00000,-2.18884,-2.10885,1,1,1,1,8.7440,13.1900
8,3.2440,-2.20051,1.17019,-2.12456,0.055687,0.32175,0.00000,-2.18884,-2.10885,1,1,1,0,8.7440,13.1900
9,6.9660,-2.19097,1.11482,-2.11171,0.057638,0.28984,0.00000,-2.18884,-2.10885,1,1,1,0,8.7440,13.1900
10,24.9460,-2.18142,1.08331,-2.09887,0.035346,0.30000,0.00000,-2.16498,-2.07675,1,1,1,1,8.7440,13.1900
11,1.2400,-2.16949,1.05248,-2.08282,0.036744,0.30012,0.00000,-2.16498,-2.07675,1,1,1,0,8.7440,13.1900
12,10.7040,-2.15756,1.04083,-2.06676,0.023146,0.37500,0.00000,-2.14112,-2.04464,1,1,1,1,8.7440,13.1900
13,2.7450,-2.14572,1.04083,-2.05084,0.019843,0.37500,0.00000,-2.14112,-2.04464,1,1,1,0,8.7440,13.1900
14,10.1440,-2.13379,1.04083,-2.03479,0.020000,0.37206,0.00000,-2.11726,-2.01254,1,1,1,1,8.7440,13.1900
15,3.1700,-2.12295,1.04083,-2.02019,0.018182,0.37500,0.00000,-2.11726,-2.01254,1,1,1,0,8.7440,13.1900
16,10.2880,-2.11102,1.04083,-2.00414,0.020000,0.34091,0.00000,-2.09340,-1.98044,1,1,1,1,8.7440,13.1900
17,3.2970,-2.10017,1.04083,-1.98955,0.018182,0.37500,0.00000,-2.09340,-1.98044,1,1,1,0,8.7440,13.1900
18,9.8350,-2.08933,1.04083,-1.97495,0.018182,0.34091,0.00000,-2.06954,-1.94833,1,1,1,1,8.7440,13.1900
19,3.1670,-2.07848,1.04083,-1.96036,0.018182,0.34091,0.00000,-2.06954,-1.94833,1,1,1,0,8.7440,13.1900
20,6.9000,-2.06954,1.04083,-1.94833,0.014988,0.34091,0.00000,-2.06954,-1.94833,1,1,1,0,8.7440,13.1900
21,9.6150,-2.05869,1.04083,-1.93374,0.018182,0.28104,0.00000,-2.04568,-1.91623,1,1,1,1,8.7440,13.1900
