frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z,gc0,gc1,gc2,phys_ticks,proc_ms,phys_proc_ms
0,53.8330,-2.42745,2.03679,-2.42700,0.145756,0.02457,0.00000,-2.42745,-2.42700,1,1,1,5,1016.4280,16.6720
1,21.2290,-2.35331,1.85310,-2.33014,0.220502,3.78850,0.00000,-2.33201,-2.30148,1,1,1,4,91.7440,14.4750
2,50.4830,-2.30814,1.69463,-2.26937,0.175622,2.33032,0.00000,-2.28428,-2.23727,1,1,1,2,91.7440,14.4750
3,6.7550,-2.25136,1.44276,-2.19296,0.269264,1.41968,0.00000,-2.23656,-2.17306,1,1,1,2,91.7440,14.4750
4,4.7130,-2.23656,1.36934,-2.17306,0.077495,1.78504,0.00000,-2.21270,-2.14096,1,1,1,1,91.7440,14.4750
5,4.1620,-2.23052,1.33683,-2.16493,0.034057,0.46496,0.00000,-2.21270,-2.14096,1,1,1,0,91.7440,14.4750
6,11.0380,-2.20867,1.21754,-2.13554,0.124787,0.18989,0.00000,-2.18884,-2.10885,1,1,1,1,91.7440,14.4750
7,1.3340,-2.20086,1.17218,-2.12502,0.047214,0.68676,0.00000,-2.18884,-2.10885,1,1,1,0,91.7440,14.4750
8,5.8140,-2.19257,1.12413,-2.11387,0.050015,0.24574,0.00000,-2.18884,-2.10885,1,1,1,0,91.7440,14.4750
9,24.1290,-2.18501,1.09258,-2.10370,0.034001,0.26033,0.00000,-2.16498,-2.07675,1,1,1,1,91.7440,14.4750
10,1.2200,-2.17308,1.06176,-2.08764,0.036744,0.23773,0.00000,-2.16498,-2.07675,1,1,1,0,91.7440,14.4750
11,6.9320,-2.16115,1.04083,-2.07159,0.028945,0.37500,0.00000,-2.14112,-2.04464,1,1,1,1,91.7440,14.4750
12,0.9630,-2.15055,1.04083,-2.05732,0.017777,0.37500,0.00000,-2.14112,-2.04464,1,1,1,0,91.7440,14.4750
13,6.4730,-2.14027,1.04083,-2.04349,0.017232,0.33333,0.00000,-2.11726,-2.01254,1,1,1,1,91.7440,14.4750
14,0.9440,-2.13430,1.04083,-2.03547,0.010003,0.32310,0.00000,-2.11726,-2.01254,1,1,1,0,91.7440,14.4750
15,3.2320,-2.12972,1.04083,-2.02930,0.007680,0.18756,0.00000,-2.11726,-2.01254,1,1,1,0,91.7440,14.4750
16,2.8190,-2.12569,1.04083,-2.02388,0.006759,0.14400,0.00000,-2.11726,-2.01254,1,1,1,0,91.7440,14.4750
17,2.8110,-2.12165,1.04083,-2.01844,0.006767,0.12672,0.00000,-2.11726,-2.01254,1,1,1,0,91.7440,14.4750
18,2.8230,-2.11767,1.04083,-2.01309,0.006667,0.12690,0.00000,-2.11726,-2.01254,1,1,1,0,91.7440,14.4750
19,6.1460,-2.11370,1.04083,-2.00774,0.006666,0.12500,0.00000,-2.09340,-1.98044,1,1,1,1,91.7440,14.4750
20,0.9580,-2.10972,1.04083,-2.00239,0.006667,0.12500,0.00000,-2.09340,-1.98044,1,1,1,0,91.7440,14.4750
21,3.2790,-2.10574,1.04083,-1.99704,0.006667,0.12500,0.00000,-2.09340,-1.98044,1,1,1,0,91.7440,14.4750
22,2.8510,-2.10097,1.04083,-1.99062,0.008000,0.12500,0.00000,-2.09340,-1.98044,1,1,1,0,91.7440,14.4750
23,2.8770,-2.09663,1.04083,-1.98478,0.007273,0.15000,0.00000,-2.09340,-1.98044,1,1,1,0,91.7440,14.4750
24,6.0810,-2.09229,1.04083,-1.97895,0.007273,0.13636,0.00000,-2.06954,-1.94833,1,1,1,1,91.7440,14.4750
25,0.9870,-2.08796,1.04083,-1.97311,0.007273,0.13636,0.00000,-2.06954,-1.94833,1,1,1,0,91.7440,14.4750
26,3.2610,-2.08362,1.04083,-1.96727,0.007273,0.13636,0.00000,-2.06954,-1.94833,1,1,1,0,91.7440,14.4750
27,2.8090,-2.07928,1.04083,-1.96144,0.007273,0.13636,0.00000,-2.06954,-1.94833,1,1,1,0,91.7440,14.4750
28,2.8280,-2.07494,1.04083,-1.95560,0.007273,0.13636,0.00000,-2.06954,-1.94833,1,1,1,0,91.7440,14.4750
29,2.8040,-2.07060,1.04083,-1.94976,0.007273,0.13636,0.00000,-2.06954,-1.94833,1,1,1,0,91.7440,14.4750
30,6.2240,-2.06626,1.04083,-1.94392,0.007273,0.13636,0.00000,-2.04568,-1.91623,1,1,1,1,91.7440,14.4750
31,1.2660,-2.06193,1.04083,-1.93809,0.007273,0.13636,0.00000,-2.04568,-1.91623,1,1,1,0,91.7440,14.4750
32,3.0050,-2.05759,1.04083,-1.93225,0.007273,0.13636,0.00000,-2.04568,-1.91623,1,1,1,0,91.7440,14.4750
33,2.8150,-2.05325,1.04083,-1.92641,0.007273,0.13636,0.00000,-2.04568,-1.91623,1,1,1,0,91.7440,14.4750
34,2.8700,-2.04891,1.04083,-1.92058,0.007273,0.13636,0.00000,-2.04568,-1.91623,1,1,1,0,91.7440,14.4750
35,6.1320,-2.04457,1.04083,-1.91474,0.007273,0.13636,0.00000,-2.02182,-1.88412,1,1,1,1,91.7440,14.4750
36,0.9580,-2.04023,1.04083,-1.90890,0.007273,0.13636,0.00000,-2.02182,-1.88412,1,1,1,0,91.7440,14.4750
37,3.2660,-2.03590,1.04083,-1.90306,0.007273,0.13636,0.00000,-2.02182,-1.88412,1,1,1,0,91.7440,14.4750
38,2.8090,-2.03156,1.04083,-1.89723,0.007273,0.13636,0.00000,-2.02182,-1.88412,1,1,1,0,91.7440,14.4750
39,2.8490,-2.02722,1.04083,-1.89139,0.007273,0.13636,0.00000,-2.02182,-1.88412,1,1,1,0,91.7440,14.4750
40,2.8270,-2.02288,1.04083,-1.88555,0.007273,0.13636,0.00000,-2.02182,-1.88412,1,1,1,0,91.7440,14.4750
41,8.2560,-2.01854,1.04083,-1.87972,0.007273,0.13636,0.00000,-1.99796,-1.85202,1,1,1,1,91.7440,14.4750
42,0.9790,-2.01420,1.04083,-1.87388,0.007273,0.13636,0.00000,-1.99796,-1.85202,1,1,1,0,91.7440,14.4750
43,3.3090,-2.00987,1.04083,-1.86804,0.007273,0.13636,0.00000,-1.99796,-1.85202,1,1,1,0,91.7440,14.4750
44,2.9030,-2.00553,1.04083,-1.86220,0.007273,0.13636,0.00000,-1.99796,-1.85202,1,1,1,0,91.7440,14.4750
45,2.8090,-2.00119,1.04083,-1.85637,0.007273,0.13636,0.00000,-1.99796,-1.85202,1,1,1,0,91.7440,14.4750
46,6.3190,-1.99685,1.04083,-1.85053,0.007273,0.13636,0.00000,-1.97410,-1.81991,1,1,1,1,91.7440,14.4750
47,1.0050,-1.99251,1.04083,-1.84469,0.007273,0.13636,0.00000,-1.97410,-1.81991,1,1,1,0,91.7440,14.4750
48,3.2610,-1.98818,1.04083,-1.83886,0.007272,0.13636,0.00000,-1.97410,-1.81991,1,1,1,0,91.7440,14.4750
49,2.8220,-1.98384,1.04083,-1.83302,0.007273,0.13636,0.00000,-1.97410,-1.81991,1,1,1,0,91.7440,14.4750
50,2.7930,-1.97950,1.04083,-1.82718,0.007272,0.13636,0.00000,-1.97410,-1.81991,1,1,1,0,91.7440,14.4750
51,2.8490,-1.97516,1.04083,-1.82134,0.007273,0.13636,0.00000,-1.97410,-1.81991,1,1,1,0,91.7440,14.4750
52,15.1990,-1.97082,1.04083,-1.81551,0.007273,0.13636,0.00000,-1.95024,-1.78781,2,2,1,1,91.7440,14.4750
53,0.9800,-1.96482,1.04083,-1.80743,0.010057,0.13636,0.00000,-1.95024,-1.78781,2,2,1,0,91.7440,14.4750
54,3.3600,-1.96005,1.04083,-1.80101,0.008000,0.18859,0.00000,-1.95024,-1.78781,2,2,1,0,91.7440,14.4750
55,2.8590,-1.95528,1.04083,-1.79459,0.008000,0.15000,0.00000,-1.95024,-1.78781,2,2,1,0,91.7440,14.4750
56,2.9470,-1.95051,1.04083,-1.78817,0.008000,0.15000,0.00000,-1.95024,-1.78781,2,2,1,0,91.7440,14.4750
57,5.9530,-1.94573,1.04083,-1.78175,0.008000,0.15000,0.00000,-1.92638,-1.75571,2,2,1,1,91.7440,14.4750
58,0.9940,-1.94096,1.04083,-1.77533,0.008000,0.15000,0.00000,-1.92638,-1.75571,2,2,1,0,91.7440,14.4750
59,3.2100,-1.93619,1.04083,-1.76891,0.008000,0.15000,0.00000,-1.92638,-1.75571,2,2,1,0,91.7440,14.4750
60,2.8280,-1.93142,1.04083,-1.76249,0.008000,0.15000,0.00000,-1.92638,-1.75571,2,2,1,0,91.7440,14.4750
61,2.8270,-1.92665,1.04083,-1.75607,0.008000,0.15000,0.00000,-1.92638,-1.75571,2,2,1,0,91.7440,14.4750
62,5.8740,-1.92187,1.04083,-1.74965,0.008000,0.15000,0.00000,-1.90252,-1.72360,2,2,1,1,91.7440,14.4750
63,1.2880,-1.91710,1.04083,-1.74323,0.008000,0.15000,0.00000,-1.90252,-1.72360,2,2,1,0,91.7440,14.4750
64,2.9290,-1.91233,1.04083,-1.73680,0.008000,0.15000,0.00000,-1.90252,-1.72360,2,2,1,0,91.7440,14.4750
65,2.8300,-1.90756,1.04083,-1.73038,0.008000,0.15000,0.00000,-1.90252,-1.72360,2,2,1,0,91.7440,14.4750
66,2.8480,-1.90279,1.04083,-1.72396,0.008000,0.15000,0.00000,-1.90252,-1.72360,2,2,1,0,91.7440,14.4750
67,5.9800,-1.89801,1.04083,-1.71754,0.008000,0.15000,0.00000,-1.87866,-1.69150,2,2,1,1,91.7440,14.4750
68,0.9570,-1.89324,1.04083,-1.71112,0.008000,0.15000,0.00000,-1.87866,-1.69150,2,2,1,0,91.7440,14.4750
69,3.1300,-1.88847,1.04083,-1.70470,0.008000,0.15000,0.00000,-1.87866,-1.69150,2,2,1,0,91.7440,14.4750
70,2.8520,-1.88370,1.04083,-1.69828,0.008000,0.15000,0.00000,-1.87866,-1.69150,2,2,1,0,91.7440,14.4750
71,2.8060,-1.87893,1.04083,-1.69186,0.008000,0.15000,0.00000,-1.87866,-1.69150,2,2,1,0,91.7440,14.4750
72,5.9280,-1.87415,1.04083,-1.68544,0.007999,0.15000,0.00000,-1.85480,-1.65939,2,2,1,1,91.7440,14.4750
73,0.9000,-1.86938,1.04083,-1.67902,0.008000,0.15000,0.00000,-1.85480,-1.65939,2,2,1,0,91.7440,14.4750
74,3.1790,-1.86461,1.04083,-1.67260,0.008000,0.15000,0.00000,-1.85480,-1.65939,2,2,1,0,91.7440,14.4750
75,2.7950,-1.85984,1.04083,-1.66618,0.008000,0.15000,0.00000,-1.85480,-1.65939,2,2,1,0,91.7440,14.4750
76,2.8080,-1.85507,1.04083,-1.65975,0.008000,0.15000,0.00000,-1.85480,-1.65939,2,2,1,0,91.7440,14.4750
77,6.1220,-1.85029,1.04083,-1.65333,0.008000,0.15000,0.00000,-1.83094,-1.62729,2,2,1,1,91.7440,14.4750
