frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z,gc0,gc1,gc2,phys_ticks,proc_ms,phys_proc_ms
0,69.8570,-2.42745,2.03679,-2.42700,0.145756,0.02466,0.00000,-2.42745,-2.42700,1,1,1,5,800.6360,16.5970
1,22.2900,-2.32892,1.77162,-2.29732,0.311196,4.02517,0.00000,-2.30814,-2.26937,1,1,1,5,800.6360,16.5970
2,42.9620,-2.30419,1.67830,-2.26405,0.102108,3.09711,0.00000,-2.28428,-2.23727,1,1,1,1,800.6360,16.5970
3,7.5610,-2.24314,1.40196,-2.18190,0.294684,0.77733,0.00000,-2.23656,-2.17306,1,1,1,2,800.6360,16.5970
4,3.8300,-2.23225,1.34614,-2.16726,0.058731,1.91898,0.00000,-2.21270,-2.14096,1,1,1,1,800.6360,16.5970
5,7.1500,-2.20990,1.22467,-2.13719,0.127110,0.34209,0.00000,-2.18884,-2.10885,1,1,1,1,800.6360,16.5970
6,4.4160,-2.19971,1.16555,-2.12348,0.061540,0.70247,0.00000,-2.18884,-2.10885,1,1,1,0,800.6360,16.5970
7,6.9120,-2.18983,1.10823,-2.11019,0.059664,0.32031,0.00000,-2.18884,-2.10885,1,1,1,0,800.6360,16.5970
8,24.2310,-2.18068,1.08140,-2.09787,0.030910,0.31054,0.00000,-2.16498,-2.07675,1,1,1,1,800.6360,16.5970
9,0.9380,-2.16875,1.05057,-2.08182,0.036744,0.28764,0.00000,-2.16498,-2.07675,1,1,1,0,800.6360,16.5970
10,9.9290,-2.15682,1.04083,-2.06577,0.022247,0.37500,0.00000,-2.14112,-2.04464,1,1,1,1,800.6360,16.5970
11,2.6490,-2.14489,1.04083,-2.04972,0.020000,0.37500,0.00000,-2.14112,-2.04464,1,1,1,0,800.6360,16.5970
12,9.4760,-2.13296,1.04083,-2.03367,0.020000,0.37500,0.00000,-2.11726,-2.01254,1,1,1,1,800.6360,16.5970
13,2.8850,-2.12103,1.04083,-2.01761,0.020000,0.37500,0.00000,-2.11726,-2.01254,1,1,1,0,800.6360,16.5970
14,9.3360,-2.10910,1.04083,-2.00156,0.020000,0.37500,0.00000,-2.09340,-1.98044,1,1,1,1,800.6360,16.5970
15,3.0010,-2.10042,1.04083,-1.98988,0.014554,0.37500,0.00000,-2.09340,-1.98044,1,1,1,0,800.6360,16.5970
16,9.6150,-2.09125,1.04083,-1.97755,0.015370,0.27288,0.00000,-2.06954,-1.94833,1,1,1,1,800.6360,16.5970
17,2.7530,-2.08273,1.04083,-1.96607,0.014292,0.28818,0.00000,-2.06954,-1.94833,1,1,1,0,800.6360,16.5970
18,6.4390,-2.07352,1.04083,-1.95368,0.015437,0.26798,0.00000,-2.06954,-1.94833,1,1,1,0,89.6450,17.8210
19,8.9020,-2.06503,1.04083,-1.94226,0.014234,0.28944,0.00000,-2.04568,-1.91623,1,1,1,1,89.6450,17.8210
