frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z,gc0,gc1,gc2,phys_ticks,proc_ms,phys_proc_ms
0,1142.3530,-2.35587,1.86150,-2.33358,0.355012,0.00311,0.00000,-2.35587,-2.33358,1,1,1,8,8.3780,12.3810
1,62.9750,-2.25362,1.45400,-2.19601,0.442083,6.18482,0.00000,-2.23656,-2.17306,1,1,1,5,1163.5170,14.3280
2,27.7940,-2.16498,1.04083,-2.07675,0.439072,3.21390,0.00000,-2.14112,-2.04464,1,1,1,4,1163.5170,14.3280
3,3.8190,-2.13104,1.04083,-2.03107,0.056908,2.78610,0.00000,-2.11726,-2.01254,1,1,1,1,1163.5170,14.3280
4,7.5220,-2.11726,1.04083,-2.01254,0.023092,1.06702,0.00000,-2.09340,-1.98044,1,1,1,1,1163.5170,14.3280
5,4.0070,-2.11079,1.04083,-2.00384,0.010844,0.43298,0.00000,-2.09340,-1.98044,1,1,1,0,1163.5170,14.3280
6,9.9730,-2.09290,1.04083,-1.97976,0.030000,0.20332,0.00000,-2.06954,-1.94833,1,1,1,1,1163.5170,14.3280
7,3.3320,-2.07980,1.04083,-1.96214,0.021951,0.56250,0.00000,-2.06954,-1.94833,1,1,1,0,1163.5170,14.3280
8,6.9390,-2.06990,1.04083,-1.94881,0.016606,0.41158,0.00000,-2.06954,-1.94833,1,1,1,0,1163.5170,14.3280
9,9.5530,-2.06075,1.04083,-1.93650,0.015340,0.31135,0.00000,-2.04568,-1.91623,1,1,1,1,1163.5170,14.3280
10,3.1770,-2.05163,1.04083,-1.92424,0.015281,0.28764,0.00000,-2.04568,-1.91623,1,1,1,0,1163.5170,14.3280
11,9.9230,-2.04173,1.04083,-1.91092,0.016594,0.28651,0.00000,-2.02182,-1.88412,1,1,1,1,1163.5170,14.3280
12,3.3510,-2.03262,1.04083,-1.89866,0.015269,0.31113,0.00000,-2.02182,-1.88412,1,1,1,0,1163.5170,14.3280
13,6.9350,-2.02308,1.04083,-1.88582,0.016000,0.28629,0.00000,-2.02182,-1.88412,1,1,1,0,1163.5170,14.3280
14,9.8020,-2.01362,1.04083,-1.87309,0.015860,0.30000,0.00000,-1.99796,-1.85202,1,1,1,1,1163.5170,14.3280
15,2.9340,-2.00448,1.04083,-1.86080,0.015317,0.29737,0.00000,-1.99796,-1.85202,1,1,1,0,1163.5170,14.3280
