frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z,gc0,gc1,gc2,phys_ticks,proc_ms,phys_proc_ms
0,81.0770,-2.36205,1.87923,-2.34190,0.334703,6.41559,0.00000,-2.35587,-2.33358,1,1,1,8,216.7920,12.3360
1,13.1500,-2.25711,1.47131,-2.20070,0.444242,5.80563,0.00000,-2.23656,-2.17306,1,1,1,5,216.7920,12.3360
2,110.6670,-2.12428,1.04083,-2.02199,0.484654,3.29863,0.00000,-2.11726,-2.01254,1,1,1,5,216.7920,12.3360
3,256.8920,-1.93020,1.04083,-1.76085,0.325371,4.17497,0.00000,-1.92638,-1.75571,2,2,1,8,216.7920,12.3360
4,241.5870,-1.73549,1.04083,-1.49887,0.326403,6.10071,0.00000,-1.73549,-1.49887,2,2,1,8,569.1960,18.8150
5,509.2540,-1.55235,1.04083,-1.25245,0.307027,6.12006,0.00000,-1.54461,-1.24204,2,2,1,8,569.1960,18.8150
6,246.6430,-1.37759,1.04083,-1.01731,0.292974,5.75674,0.00000,-1.35373,-0.98520,2,2,1,8,569.1960,18.8150
7,256.9180,-1.18671,1.04083,-0.76047,0.320000,5.49326,0.00000,-1.16284,-0.72837,2,2,1,8,486.7800,3.7860
8,512.8610,-0.97688,1.04083,-0.47815,0.351758,6.00000,0.00000,-0.97196,-0.47154,2,2,1,8,486.7800,3.7860
9,257.6280,-0.80201,1.04083,-0.24286,0.293154,6.59546,0.00000,-0.78108,-0.21470,2,2,1,8,495.7760,2.9600
10,253.8030,-0.60285,1.04083,0.02510,0.333867,5.49665,0.00000,-0.59020,0.04213,2,2,1,8,495.7760,2.9600
11,506.1690,-0.40570,1.04083,0.29036,0.330505,6.26001,0.00000,-0.39931,0.29897,2,2,1,8,495.7760,2.9600
12,249.4260,-0.30420,1.04081,0.42695,0.170172,6.19697,0.03230,-0.30387,0.42738,2,2,1,8,485.3730,3.0240
13,258.4020,-0.13200,1.04080,0.65864,0.288679,5.45092,0.00652,-0.11299,0.68422,2,2,1,8,485.3730,3.0240
14,516.3610,0.05499,1.04080,0.91024,0.313474,6.00329,0.00132,0.07790,0.94105,2,2,1,8,485.3730,3.0240
15,256.6280,0.10496,1.04080,0.97746,0.083759,5.99671,0.06487,0.07790,0.94105,2,2,1,8,494.5390,3.7710
16,247.6860,0.26559,1.04080,1.19360,0.269293,6.17938,0.01310,0.26878,1.19788,2,2,1,8,494.5390,3.7710
17,505.2420,0.45531,1.04080,1.44886,0.318041,6.19791,0.00264,0.45966,1.45472,2,2,1,8,494.5390,3.7710
18,249.0430,0.39338,1.04080,1.36554,0.103819,6.18352,0.10552,0.34036,1.29420,2,2,1,8,484.1710,3.1830
19,255.8930,0.52378,1.04080,1.54099,0.218601,5.43919,0.02130,0.53124,1.55103,2,2,1,8,484.1710,3.1830
20,501.2380,0.72469,1.04080,1.81132,0.336818,6.03109,0.00430,0.72213,1.80787,2,2,1,8,484.1710,3.1830
21,534.2330,0.88978,1.04080,2.03345,0.276759,6.71893,0.00000,0.91301,2.06470,2,2,1,8,512.9620,3.1280
