frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z,gc0,gc1,gc2,phys_ticks,proc_ms,phys_proc_ms
0,492.7300,-2.35995,1.87321,-2.33908,0.341599,5.52214,0.00000,-2.35587,-2.33358,1,1,1,8,1059.5540,3.0800
1,9.0090,-2.30814,1.69463,-2.26937,0.198569,6.62166,0.00000,-2.28428,-2.23727,1,1,1,3,3.2790,15.7910
2,3.3050,-2.28428,1.59620,-2.23727,0.106248,1.62834,0.00000,-2.26042,-2.20517,1,1,1,1,3.2790,15.7910
3,462.9680,-2.07925,1.04083,-1.96140,0.653132,0.75000,0.00000,-2.06954,-1.94833,2,2,1,8,3.2790,15.7910
4,223.8450,-1.90252,1.04083,-1.72360,0.296281,6.44474,0.00000,-1.87866,-1.69150,2,2,1,8,3.2790,15.7910
5,508.4620,-1.68804,1.04083,-1.43502,0.359555,5.55526,0.00000,-1.68777,-1.43466,2,2,1,8,3.2790,15.7910
6,514.8130,-1.52075,1.04083,-1.20993,0.280446,6.74165,0.00000,-1.49689,-1.17783,2,2,1,8,497.5700,13.5460
7,255.5630,-1.32764,1.04083,-0.95011,0.323727,5.25835,0.00000,-1.30601,-0.92100,2,2,1,8,497.5700,13.5460
8,249.2840,-1.12949,1.04083,-0.68349,0.332197,6.06987,0.00000,-1.11512,-0.66416,2,2,1,8,235.4420,3.0210
9,513.0730,-0.94810,1.04083,-0.43943,0.304077,6.22869,0.00000,-0.92424,-0.40733,2,2,1,8,235.4420,3.0210
10,249.9690,-0.75459,1.04083,-0.17906,0.324406,5.70144,0.00000,-0.73336,-0.15049,2,2,1,8,235.4420,3.0210
11,256.1400,-0.55618,1.04083,0.08790,0.332614,6.08261,0.00000,-0.54247,0.10634,2,2,1,8,492.2140,3.6230
12,511.2740,-0.37545,1.04083,0.33107,0.302979,6.23652,0.00000,-0.35159,0.36317,2,2,1,8,492.2140,3.6230
13,255.0680,-0.18268,1.04083,0.59044,0.323164,5.68086,0.00000,-0.16071,0.62001,2,2,1,8,492.2140,3.6230
14,249.9030,0.01647,1.04083,0.85841,0.333865,6.05933,0.00000,0.03017,0.87684,2,2,1,8,490.9910,3.2900
15,501.1600,0.22106,1.04083,1.13368,0.342971,6.25996,0.00000,0.22106,1.13368,2,2,1,8,490.9910,3.2900
16,243.8510,0.39243,1.04083,1.36426,0.287295,6.43071,0.00000,0.41194,1.39051,2,2,1,8,490.9910,3.2900
17,258.7940,0.57896,1.04083,1.61524,0.312706,5.38676,0.00000,0.60282,1.64734,2,2,1,8,474.5480,3.6570
18,507.1950,0.79371,1.04083,1.90418,0.360000,5.86324,0.00000,0.79371,1.90418,2,2,1,8,474.5480,3.6570
19,251.9630,0.96436,1.04083,2.13379,0.286088,6.75000,0.00000,0.98459,2.16101,2,2,1,8,474.5480,3.6570
20,253.1130,1.16211,1.04083,2.39986,0.331501,5.36415,0.00000,1.17547,2.41785,2,2,1,8,489.3060,3.1820
21,514.9780,1.34250,1.04083,2.64258,0.302412,6.21562,0.00000,1.36636,2.67468,2,2,1,8,489.3060,3.1820
22,245.3150,1.53441,1.04083,2.90080,0.321730,5.67022,0.00000,1.55724,2.93151,2,2,1,8,489.3060,3.1820
23,255.1300,1.68975,1.04083,3.12400,0.271934,6.03246,0.00000,1.69396,3.13418,2,2,1,8,490.4350,3.3750
24,252.1790,1.73254,1.04083,2.98232,0.148002,6.17392,0.00000,1.73499,2.96319,2,2,1,8,490.4350,3.3750
25,258.3780,1.77453,1.04083,2.65500,0.329999,6.18211,0.00000,1.77571,2.64580,2,2,1,8,490.4350,3.3750
26,500.2530,1.81134,1.04083,2.36807,0.289281,6.18750,0.00000,1.81643,2.32840,2,2,1,8,490.4350,3.3750
27,257.5690,1.85335,1.04083,2.04062,0.330139,5.42401,0.00000,1.85715,2.01100,2,2,1,8,482.3600,3.1680
28,248.4930,1.89474,1.04083,1.71799,0.325273,6.19016,0.00000,1.89787,1.69360,2,2,1,8,482.3600,3.1680
29,517.7520,1.93349,1.04083,1.41588,0.304586,6.09885,0.00000,1.93858,1.37620,2,2,1,8,482.3600,3.1680
30,251.3730,1.97421,1.04083,1.09848,0.320000,5.71100,0.00000,1.97930,1.05880,2,2,1,8,496.2630,3.1900
31,253.8340,2.01493,1.04083,0.78108,0.320001,6.00000,0.00000,2.02002,0.74140,2,2,1,8,496.2630,3.1900
32,537.2730,2.06068,1.04083,0.42443,0.359567,6.00002,0.00000,2.06074,0.42400,2,2,1,8,519.3320,3.1350
33,474.7780,2.09839,1.04083,0.13049,0.296354,6.74187,0.00000,2.10146,0.10661,2,2,1,8,519.3320,3.1350
34,249.5340,2.13925,1.04083,-0.18799,0.321090,5.55666,0.00000,2.14218,-0.21079,2,2,1,8,453.9050,3.0390
35,257.0180,2.18163,1.04083,-0.51836,0.333078,6.02042,0.00000,2.18289,-0.52819,2,2,1,8,453.9050,3.0390
36,509.1350,2.21852,1.04083,-0.80592,0.289911,6.24522,0.00000,2.22361,-0.84559,2,2,1,8,453.9050,3.0390
37,254.3290,2.25924,1.04083,-1.12331,0.320000,5.43582,0.00000,2.26433,-1.16299,2,2,1,8,490.5670,3.2650
38,254.3790,2.29996,1.04083,-1.44071,0.320000,6.00000,0.00000,2.30505,-1.48039,2,2,1,8,490.5670,3.2650
39,508.4620,2.31290,1.04083,-1.69084,0.250464,6.00003,0.00000,2.31290,-1.69084,2,2,1,8,490.5670,3.2650
40,249.7650,2.32218,1.04083,-1.52459,0.166512,6.74997,0.00000,2.32291,-1.50134,2,2,1,8,487.5010,3.1850
41,259.8970,2.33160,1.04083,-1.22147,0.303266,5.56380,0.00000,2.33284,-1.18149,2,2,1,8,487.5010,3.1850
42,505.1830,2.34278,1.04083,-0.86164,0.360001,5.68620,0.00000,2.34278,-0.86164,2,2,1,8,487.5010,3.1850
43,255.5560,2.35194,1.04083,-0.56663,0.295151,6.75002,0.00000,2.35271,-0.54180,2,2,1,8,487.7910,3.2110
44,251.2320,2.36140,1.04083,-0.26193,0.304849,5.53406,0.00000,2.36265,-0.22195,2,2,1,8,487.7910,3.2110
45,514.2620,2.37258,1.04083,0.09789,0.360000,5.71594,0.00000,2.37258,0.09789,2,2,1,8,487.7910,3.2110
46,247.7550,2.38185,1.04083,0.39630,0.298555,6.75000,0.00000,2.38252,0.41774,2,2,1,8,492.3020,3.5140
47,261.5930,2.39121,1.04083,0.69760,0.301445,5.59790,0.00000,2.39245,0.73759,2,2,1,8,492.3020,3.5140
48,501.2130,2.40239,1.04083,1.05743,0.360000,5.65210,0.00000,2.40239,1.05743,2,2,1,8,492.3020,3.5140
49,254.7670,2.41143,1.04083,1.34854,0.291248,6.75000,0.00000,2.41232,1.37728,2,2,1,8,484.0780,3.4950
50,251.7760,2.42102,1.04083,1.65714,0.308752,5.46088,0.00000,2.42226,1.69712,2,2,1,8,484.0780,3.4950
51,512.2350,2.43219,1.04083,2.01697,0.360000,5.78912,0.00000,2.43219,2.01697,2,2,1,8,484.0780,3.4950
52,249.0820,2.44126,1.04083,2.30891,0.292081,6.75000,0.00000,2.44213,2.33681,2,2,1,8,490.9820,3.1380
53,262.0470,2.45082,1.04083,2.61668,0.307918,5.47650,0.00000,2.45206,2.65666,2,2,1,8,490.9820,3.1380
54,491.5120,2.45455,1.04083,2.89207,0.275420,5.77350,0.00000,2.45455,2.90067,2,2,1,8,490.9820,3.1380
55,539.1020,2.45685,1.04083,2.77709,0.115010,6.39789,0.00000,2.45696,2.76192,2,2,1,8,515.4220,3.2640
56,517.1080,2.45931,1.04083,2.44842,0.328674,6.06775,0.00000,2.45935,2.44193,2,2,1,8,515.4220,3.2640
57,741.7500,2.46145,1.04083,2.16194,0.286494,6.16260,0.00000,2.46174,2.12194,2,2,1,8,720.4860,3.0480
