frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z,gc0,gc1,gc2,phys_ticks,proc_ms,phys_proc_ms
0,53.8430,-2.43691,2.05200,-2.43663,0.125460,0.01692,0.00000,-2.42745,-2.42700,1,1,1,5,542.6750,17.2430
1,17.1600,-2.35587,1.86150,-2.33358,0.231255,3.55144,0.00000,-2.33201,-2.30148,1,1,1,4,542.6750,17.2430
2,3.6210,-2.33201,1.78307,-2.30148,0.088042,2.54685,0.00000,-2.30814,-2.26937,1,1,1,1,542.6750,17.2430
3,0.7680,-2.33138,1.78074,-2.30064,0.002550,0.75000,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
4,0.3610,-2.33131,1.78050,-2.30055,0.000269,0.01970,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
5,0.3260,-2.32535,1.75839,-2.29252,0.024264,0.00208,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
6,0.4970,-2.32396,1.75325,-2.29065,0.005639,0.18750,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
7,0.4950,-2.32325,1.75061,-2.28970,0.002900,0.04357,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
8,0.5050,-2.32253,1.74793,-2.28872,0.002941,0.02241,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
9,0.5060,-2.32180,1.74526,-2.28775,0.002935,0.02273,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
10,0.5180,-2.32105,1.74246,-2.28674,0.003063,0.02268,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
11,0.5120,-2.32031,1.73974,-2.28575,0.002993,0.02367,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
12,0.5120,-2.31958,1.73702,-2.28476,0.002982,0.02313,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
13,0.5230,-2.31883,1.73425,-2.28376,0.003040,0.02304,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
14,0.5070,-2.31874,1.73391,-2.28363,0.000371,0.02349,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
15,0.5200,-2.31865,1.73357,-2.28351,0.000377,0.00286,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
16,0.5120,-2.31856,1.73323,-2.28339,0.000373,0.00291,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
17,0.5100,-2.31847,1.73289,-2.28326,0.000372,0.00288,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
18,0.4990,-2.31838,1.73256,-2.28314,0.000364,0.00287,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
19,0.5270,-2.31828,1.73221,-2.28302,0.000384,0.00281,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
20,0.5110,-2.31819,1.73187,-2.28289,0.000373,0.00296,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
21,0.5140,-2.31810,1.73153,-2.28277,0.000372,0.00288,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
22,0.5150,-2.31801,1.73119,-2.28265,0.000374,0.00288,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
23,0.5080,-2.31792,1.73085,-2.28252,0.000371,0.00288,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
24,0.5090,-2.31783,1.73051,-2.28240,0.000371,0.00287,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
25,0.5270,-2.31773,1.73017,-2.28227,0.000383,0.00287,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
26,0.5020,-2.31764,1.72983,-2.28215,0.000365,0.00296,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
27,0.5270,-2.31755,1.72949,-2.28203,0.000377,0.00282,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
28,0.5100,-2.31746,1.72915,-2.28191,0.000371,0.00291,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
29,0.4930,-2.31737,1.72883,-2.28179,0.000356,0.00287,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
30,0.5150,-2.31728,1.72848,-2.28166,0.000379,0.00275,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
31,0.5060,-2.31719,1.72814,-2.28154,0.000371,0.00293,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
32,0.5080,-2.31686,1.72694,-2.28110,0.001324,0.00287,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
33,0.5220,-2.31611,1.72416,-2.28009,0.003052,0.01024,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
34,41.0280,-2.31538,1.72144,-2.27911,0.002976,0.02358,0.00000,-2.30814,-2.26937,1,1,1,0,542.6750,17.2430
35,9.4740,-2.26042,1.48777,-2.20517,0.251178,0.02300,0.00000,-2.23656,-2.17306,1,1,1,3,542.6750,17.2430
36,3.3400,-2.23656,1.36934,-2.17306,0.125003,1.72738,0.00000,-2.21270,-2.14096,1,1,1,1,542.6750,17.2430
37,0.6810,-2.22612,1.31314,-2.15901,0.058864,0.75000,0.00000,-2.21270,-2.14096,1,1,1,0,542.6750,17.2430
38,0.3280,-2.22565,1.31057,-2.15837,0.002688,0.32820,0.00000,-2.21270,-2.14096,1,1,1,0,542.6750,17.2430
39,0.3380,-2.22517,1.30804,-2.15774,0.002655,0.01499,0.00000,-2.21270,-2.14096,1,1,1,0,542.6750,17.2430
40,0.5120,-2.22444,1.30408,-2.15675,0.004148,0.01480,0.00000,-2.21270,-2.14096,1,1,1,0,542.6750,17.2430
41,0.5120,-2.22370,1.30013,-2.15576,0.004140,0.02313,0.00000,-2.21270,-2.14096,1,1,1,0,542.6750,17.2430
42,0.5060,-2.22298,1.29624,-2.15479,0.004068,0.02308,0.00000,-2.21270,-2.14096,1,1,1,0,542.6750,17.2430
43,0.5060,-2.22226,1.29233,-2.15381,0.004092,0.02268,0.00000,-2.21270,-2.14096,1,1,1,0,542.6750,17.2430
44,0.5110,-2.22152,1.28840,-2.15283,0.004124,0.02281,0.00000,-2.21270,-2.14096,1,1,1,0,542.6750,17.2430
45,0.5070,-2.22080,1.28447,-2.15185,0.004108,0.02299,0.00000,-2.21270,-2.14096,1,1,1,0,542.6750,17.2430
46,0.5140,-2.22006,1.28050,-2.15085,0.004165,0.02291,0.00000,-2.21270,-2.14096,1,1,1,0,542.6750,17.2430
47,0.5250,-2.21931,1.27645,-2.14984,0.004237,0.02322,0.00000,-2.21270,-2.14096,1,1,1,0,542.6750,17.2430
48,0.5170,-2.21921,1.27596,-2.14972,0.000518,0.02363,0.00000,-2.21270,-2.14096,1,1,1,0,542.6750,17.2430
