frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z,gc0,gc1,gc2,phys_ticks,proc_ms,phys_proc_ms
0,47.2230,-2.42927,2.03971,-2.42885,0.141853,0.01723,0.00000,-2.42745,-2.42700,1,1,1,5,562.9280,17.6090
1,17.6620,-2.36787,1.89592,-2.34973,0.175233,3.74359,0.00000,-2.35587,-2.33358,1,1,1,3,83.1440,14.2070
2,9.6600,-2.33201,1.78307,-2.30148,0.127869,1.92978,0.00000,-2.30814,-2.26937,1,1,1,2,83.1440,14.2070
3,0.7090,-2.32988,1.77517,-2.29861,0.008661,1.12728,0.00000,-2.30814,-2.26937,1,1,1,0,83.1440,14.2070
4,0.3470,-2.32937,1.77331,-2.29794,0.002050,0.06693,0.00000,-2.30814,-2.26937,1,1,1,0,83.1440,14.2070
5,0.3060,-2.32894,1.77169,-2.29735,0.001770,0.01584,0.00000,-2.30814,-2.26937,1,1,1,0,83.1440,14.2070
6,0.4980,-2.32822,1.76905,-2.29639,0.002906,0.01368,0.00000,-2.30814,-2.26937,1,1,1,0,83.1440,14.2070
7,0.5270,-2.32748,1.76629,-2.29539,0.003028,0.02245,0.00000,-2.30814,-2.26937,1,1,1,0,83.1440,14.2070
8,0.5030,-2.32675,1.76360,-2.29441,0.002952,0.02340,0.00000,-2.30814,-2.26937,1,1,1,0,83.1440,14.2070
9,0.4950,-2.32604,1.76097,-2.29346,0.002883,0.02281,0.00000,-2.30814,-2.26937,1,1,1,0,83.1440,14.2070
10,0.5250,-2.32529,1.75817,-2.29244,0.003075,0.02227,0.00000,-2.30814,-2.26937,1,1,1,0,83.1440,14.2070
11,0.5110,-2.32455,1.75545,-2.29145,0.002987,0.02376,0.00000,-2.30814,-2.26937,1,1,1,0,83.1440,14.2070
12,0.5550,-2.32382,1.75275,-2.29047,0.002965,0.02309,0.00000,-2.30814,-2.26937,1,1,1,0,83.1440,14.2070
13,0.4930,-2.32307,1.74993,-2.28945,0.003086,0.02290,0.00000,-2.30814,-2.26937,1,1,1,0,83.1440,14.2070
14,0.5030,-2.32234,1.74723,-2.28847,0.002970,0.02385,0.00000,-2.30814,-2.26937,1,1,1,0,83.1440,14.2070
15,0.5100,-2.32160,1.74452,-2.28748,0.002976,0.02295,0.00000,-2.30814,-2.26937,1,1,1,0,83.1440,14.2070
16,0.5200,-2.32087,1.74178,-2.28649,0.002999,0.02300,0.00000,-2.30814,-2.26937,1,1,1,0,83.1440,14.2070
17,0.5120,-2.32013,1.73906,-2.28550,0.002993,0.02318,0.00000,-2.30814,-2.26937,1,1,1,0,83.1440,14.2070
18,0.5140,-2.31941,1.73638,-2.28453,0.002941,0.02313,0.00000,-2.30814,-2.26937,1,1,1,0,83.1440,14.2070
19,0.5250,-2.31865,1.73356,-2.28351,0.003092,0.02272,0.00000,-2.30814,-2.26937,1,1,1,0,83.1440,14.2070
20,0.4950,-2.31794,1.73093,-2.28255,0.002888,0.02390,0.00000,-2.30814,-2.26937,1,1,1,0,83.1440,14.2070
21,39.7510,-2.31719,1.72815,-2.28154,0.003052,0.02232,0.00000,-2.30814,-2.26937,1,1,1,0,83.1440,14.2070
22,8.8280,-2.26042,1.48777,-2.20517,0.258526,0.02358,0.00000,-2.23656,-2.17306,1,1,1,3,83.1440,14.2070
23,3.3870,-2.23656,1.36934,-2.17306,0.125003,1.78424,0.00000,-2.21270,-2.14096,1,1,1,1,83.1440,14.2070
24,0.6810,-2.23064,1.33746,-2.16509,0.033398,0.75000,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
25,0.4000,-2.23007,1.33439,-2.16432,0.003212,0.18621,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
26,0.3220,-2.22960,1.33187,-2.16369,0.002639,0.01791,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
27,0.4750,-2.22893,1.32824,-2.16279,0.003801,0.01472,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
28,0.4980,-2.22821,1.32437,-2.16182,0.004052,0.02119,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
29,0.5230,-2.22746,1.32033,-2.16081,0.004229,0.02259,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
30,0.5090,-2.22673,1.31640,-2.15983,0.004124,0.02358,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
31,0.5080,-2.22601,1.31253,-2.15886,0.004052,0.02299,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
32,0.5180,-2.22526,1.30850,-2.15785,0.004221,0.02259,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
33,1.4920,-2.22453,1.30460,-2.15688,0.004084,0.02354,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
34,0.3560,-2.22262,1.29429,-2.15430,0.010791,0.02277,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
35,0.2910,-2.22257,1.29401,-2.15423,0.000298,0.06017,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
36,0.3790,-2.22250,1.29365,-2.15414,0.000376,0.00166,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
37,0.5120,-2.22241,1.29316,-2.15402,0.000519,0.00210,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
38,0.5180,-2.22232,1.29266,-2.15389,0.000521,0.00289,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
39,0.5500,-2.22223,1.29217,-2.15377,0.000515,0.00290,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
40,0.4710,-2.22213,1.29167,-2.15365,0.000520,0.00288,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
41,0.5210,-2.22204,1.29117,-2.15352,0.000528,0.00290,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
42,0.5060,-2.22195,1.29068,-2.15340,0.000508,0.00294,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
43,0.5120,-2.22186,1.29019,-2.15327,0.000520,0.00283,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
44,0.5210,-2.22177,1.28969,-2.15315,0.000520,0.00290,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
45,0.5170,-2.22167,1.28919,-2.15303,0.000525,0.00290,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
46,0.5560,-2.22157,1.28865,-2.15289,0.000559,0.00292,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
47,0.4660,-2.22149,1.28820,-2.15278,0.000472,0.00312,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
48,0.5080,-2.22140,1.28771,-2.15266,0.000515,0.00263,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
49,0.5010,-2.22131,1.28723,-2.15254,0.000502,0.00287,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
50,0.5220,-2.22122,1.28673,-2.15241,0.000523,0.00280,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
51,0.5180,-2.22112,1.28623,-2.15229,0.000526,0.00291,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
52,0.5160,-2.22103,1.28574,-2.15216,0.000518,0.00293,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
53,0.5060,-2.22094,1.28525,-2.15204,0.000511,0.00289,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
54,0.5000,-2.22038,1.28226,-2.15129,0.003130,0.00285,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
55,0.5100,-2.21966,1.27835,-2.15031,0.004100,0.01745,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
56,0.5170,-2.21892,1.27439,-2.14932,0.004148,0.02286,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
57,0.5110,-2.21819,1.27042,-2.14833,0.004149,0.02313,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
58,0.5020,-2.21746,1.26653,-2.14736,0.004076,0.02313,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
59,0.5380,-2.21670,1.26243,-2.14634,0.004302,0.02273,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
60,0.5040,-2.21597,1.25851,-2.14536,0.004100,0.02398,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
61,0.5060,-2.21525,1.25460,-2.14438,0.004092,0.02286,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
62,0.5270,-2.21450,1.25058,-2.14337,0.004213,0.02281,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
63,0.4910,-2.21379,1.24678,-2.14242,0.003979,0.02349,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
64,0.5190,-2.21305,1.24281,-2.14143,0.004165,0.02219,0.00000,-2.21270,-2.14096,1,1,1,0,83.1440,14.2070
65,3.4560,-2.21231,1.23864,-2.14043,0.004346,0.02322,0.00000,-2.18884,-2.10885,1,1,1,1,83.1440,14.2070
66,0.5900,-2.21032,1.22711,-2.13776,0.012008,0.02336,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
67,0.3560,-2.20834,1.21557,-2.13508,0.012008,0.06250,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
68,0.3330,-2.20635,1.20404,-2.13241,0.012008,0.06250,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
69,0.4780,-2.20559,1.19964,-2.13139,0.004576,0.06250,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
70,0.5030,-2.20487,1.19546,-2.13042,0.004349,0.02382,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
71,0.4940,-2.20416,1.19133,-2.12946,0.004305,0.02264,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
72,0.5100,-2.20343,1.18711,-2.12848,0.004392,0.02241,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
73,0.4980,-2.20271,1.18295,-2.12752,0.004323,0.02286,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
74,0.5030,-2.20199,1.17878,-2.12655,0.004349,0.02250,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
75,0.5400,-2.20126,1.17451,-2.12556,0.004444,0.02264,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
76,0.4960,-2.20054,1.17034,-2.12459,0.004340,0.02313,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
77,0.4930,-2.19981,1.16610,-2.12361,0.004409,0.02259,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
78,0.5140,-2.19907,1.16181,-2.12261,0.004461,0.02295,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
79,0.4950,-2.19837,1.15774,-2.12167,0.004236,0.02322,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
80,0.5000,-2.19764,1.15353,-2.12069,0.004383,0.02205,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
81,0.5110,-2.19692,1.14933,-2.11972,0.004375,0.02281,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
82,0.5140,-2.19618,1.14504,-2.11872,0.004470,0.02277,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
83,0.4940,-2.19548,1.14097,-2.11778,0.004236,0.02326,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
84,0.4980,-2.19476,1.13680,-2.11681,0.004340,0.02205,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
85,0.5010,-2.19404,1.13262,-2.11584,0.004349,0.02259,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
86,0.5210,-2.19329,1.12830,-2.11484,0.004496,0.02264,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
87,0.5080,-2.19257,1.12410,-2.11387,0.004375,0.02340,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
88,0.5220,-2.19182,1.11975,-2.11286,0.004522,0.02277,0.00000,-2.18884,-2.10885,1,1,1,0,83.1440,14.2070
