frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z,gc0,gc1,gc2,phys_ticks,proc_ms,phys_proc_ms
0,52.5330,-2.43670,2.05167,-2.43643,0.125895,0.01845,0.00000,-2.42745,-2.42700,1,1,1,5,564.7410,16.9200
1,16.3490,-2.35587,1.86150,-2.33358,0.230823,3.49020,0.00000,-2.33201,-2.30148,1,1,1,4,564.7410,16.9200
2,0.7570,-2.34501,1.82582,-2.31898,0.040045,2.54049,0.00000,-2.33201,-2.30148,1,1,1,0,564.7410,16.9200
3,0.4700,-2.34435,1.82363,-2.31809,0.002456,0.34113,0.00000,-2.33201,-2.30148,1,1,1,0,564.7410,16.9200
4,0.3280,-2.34386,1.82205,-2.31744,0.001781,0.02093,0.00000,-2.33201,-2.30148,1,1,1,0,564.7410,16.9200
5,0.4320,-2.34325,1.82002,-2.31661,0.002276,0.01517,0.00000,-2.33201,-2.30148,1,1,1,0,564.7410,16.9200
6,0.5000,-2.34254,1.81768,-2.31565,0.002625,0.01940,0.00000,-2.33201,-2.30148,1,1,1,0,564.7410,16.9200
7,0.5060,-2.34181,1.81528,-2.31467,0.002694,0.02236,0.00000,-2.33201,-2.30148,1,1,1,0,564.7410,16.9200
8,0.5060,-2.34108,1.81288,-2.31368,0.002694,0.02295,0.00000,-2.33201,-2.30148,1,1,1,0,564.7410,16.9200
9,0.5130,-2.34034,1.81047,-2.31270,0.002710,0.02295,0.00000,-2.33201,-2.30148,1,1,1,0,564.7410,16.9200
10,0.5250,-2.33960,1.80802,-2.31169,0.002747,0.02309,0.00000,-2.33201,-2.30148,1,1,1,0,564.7410,16.9200
11,0.5010,-2.33889,1.80569,-2.31074,0.002615,0.02340,0.00000,-2.33201,-2.30148,1,1,1,0,564.7410,16.9200
12,0.5310,-2.33812,1.80316,-2.30970,0.002842,0.02227,0.00000,-2.33201,-2.30148,1,1,1,0,564.7410,16.9200
13,0.4970,-2.33740,1.80081,-2.30874,0.002636,0.02421,0.00000,-2.33201,-2.30148,1,1,1,0,564.7410,16.9200
