frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z,gc0,gc1,gc2,phys_ticks,proc_ms,phys_proc_ms
0,43.2740,-2.36083,1.87572,-2.34026,0.338719,6.00000,0.00000,-2.35587,-2.33358,1,1,1,8,234.1830,12.8940
1,8.2060,-2.30814,1.69463,-2.26937,0.201475,5.84409,0.00000,-2.28428,-2.23727,1,1,1,3,234.1830,12.8940
2,395.9980,-2.09340,1.04083,-1.98044,0.746363,1.65591,0.00000,-2.09340,-1.98044,2,2,1,8,606.2700,15.0160
3,220.3980,-1.92248,1.04083,-1.75046,0.286533,6.75000,0.00000,-1.90252,-1.72360,2,2,1,8,606.2700,15.0160
4,260.2960,-1.72886,1.04083,-1.48995,0.324582,5.37249,0.00000,-1.71163,-1.46677,2,2,1,8,606.2700,15.0160
5,247.0210,-1.53287,1.04083,-1.22624,0.328563,6.08590,0.00000,-1.52075,-1.20993,2,2,1,8,606.2700,15.0160
6,252.3590,-1.35373,1.04083,-0.98520,0.300323,6.16057,0.00000,-1.32987,-0.95310,2,2,1,8,232.6810,17.8220
7,504.1250,-1.14519,1.04083,-0.70461,0.349602,5.63104,0.00000,-1.13898,-0.69627,2,2,1,8,232.6810,17.8220
8,250.0230,-0.97196,1.04083,-0.47154,0.290399,6.55503,0.00000,-0.94810,-0.43943,2,2,1,8,232.6810,17.8220
9,248.6760,-0.78108,1.04083,-0.21470,0.320000,5.44497,0.00000,-0.75722,-0.18260,2,2,1,8,481.4370,3.4030
10,256.6920,-0.58652,1.04083,0.04708,0.326166,6.00000,0.00000,-0.56633,0.07424,2,2,1,8,481.4370,3.4030
11,253.5880,-0.39931,1.04083,0.29897,0.313834,6.11562,0.00000,-0.37545,0.33107,2,2,1,8,481.4370,3.4030
12,515.2510,-0.18457,1.04083,0.58790,0.360000,5.88438,0.00000,-0.18457,0.58790,2,2,1,8,481.4370,3.4030
13,244.5730,-0.01461,1.04083,0.81658,0.284917,6.75000,0.00000,0.00631,0.84474,2,2,1,8,490.6190,3.0740
14,256.4580,0.17772,1.04083,1.07537,0.322434,5.34219,0.00000,0.19720,1.10157,2,2,1,8,490.6190,3.0740
15,250.8590,0.37483,1.04083,1.34058,0.330443,6.04562,0.00000,0.38808,1.35841,2,2,1,8,490.6190,3.0740
16,252.0910,0.57168,1.04083,1.60544,0.330000,6.19580,0.00000,0.57896,1.61524,2,2,1,8,231.9040,3.2220
17,250.4540,0.74599,1.04083,1.83997,0.292207,6.18750,0.00000,0.76985,1.87207,2,2,1,8,231.9040,3.2220
18,252.8560,0.94331,1.04083,2.10547,0.330801,5.47888,0.00000,0.96073,2.12891,2,2,1,8,231.9040,3.2220
19,499.0490,1.14719,1.04083,2.37979,0.341779,6.20251,0.00000,1.15161,2.38574,2,2,1,8,231.9040,3.2220
20,524.0220,1.34139,1.04083,2.64109,0.325572,6.40835,0.00000,1.34250,2.64258,2,2,1,8,499.7130,3.1580
21,688.2360,1.52285,1.04083,2.88524,0.304190,6.10445,0.00000,1.53338,2.89941,2,2,1,8,499.7130,3.1580
22,256.8680,1.67874,1.04083,3.10247,0.267383,5.70354,0.00000,1.68815,3.12013,2,2,1,8,673.9120,2.9620
23,252.6070,1.72534,1.04083,3.03843,0.079202,5.58115,0.00000,1.72990,3.00287,2,2,1,8,673.9120,2.9620
24,518.5960,1.76553,1.04083,2.72515,0.315856,6.07768,0.00000,1.77062,2.68547,2,2,1,8,497.2010,3.0040
25,247.9050,1.80682,1.04083,2.40331,0.324471,5.92232,0.00000,1.81134,2.36807,2,2,1,8,497.2010,3.0040
26,260.3960,1.84902,1.04083,2.07434,0.331666,6.08386,0.00000,1.85206,2.05067,2,2,1,8,497.2010,3.0040
27,248.9700,1.89110,1.04083,1.74631,0.330719,6.21875,0.00000,1.89278,1.73328,2,2,1,8,235.6090,3.0120
28,257.5150,1.93215,1.04083,1.42637,0.322558,6.20097,0.00000,1.93349,1.41588,2,2,1,8,235.6090,3.0120
29,249.2770,1.96912,1.04083,1.13815,0.290584,6.04797,0.00000,1.97421,1.09848,2,2,1,8,235.6090,3.0120
30,257.3530,2.01111,1.04083,0.81083,0.330000,5.44844,0.00000,2.01493,0.78108,2,2,1,8,235.6090,3.0120
31,495.5010,2.05565,1.04083,0.46368,0.350000,6.18748,0.00000,2.05565,0.46368,2,2,1,8,478.2700,3.1910
32,252.5500,2.09268,1.04083,0.17504,0.291009,6.56252,0.00000,2.09637,0.14628,2,2,1,8,478.2700,3.1910
33,249.0840,2.13358,1.04083,-0.14380,0.321450,5.45642,0.00000,2.13709,-0.17112,2,2,1,8,478.2700,3.1910
34,258.0370,2.17271,1.04083,-0.44884,0.307542,6.02716,0.00000,2.17780,-0.48852,2,2,1,8,233.6740,3.0780
35,245.4400,2.21375,1.04083,-0.76870,0.322481,5.76640,0.00000,2.21852,-0.80592,2,2,1,8,233.6740,3.0780
36,254.7870,2.25476,1.04083,-1.08839,0.322309,6.04652,0.00000,2.25924,-1.12331,2,2,1,8,233.6740,3.0780
37,253.4520,2.29718,1.04083,-1.41901,0.333333,6.04329,0.00000,2.29996,-1.44071,2,2,1,8,233.6740,3.0780
38,512.2150,2.31162,1.04083,-1.67612,0.257510,6.25000,0.00000,2.31162,-1.68228,2,2,1,8,490.9000,3.2520
39,253.1010,2.32042,1.04083,-1.58130,0.095230,6.15363,0.00000,2.32166,-1.54132,2,2,1,8,490.9000,3.2520
40,258.3240,2.33077,1.04083,-1.24802,0.333435,5.50658,0.00000,2.33160,-1.22147,2,2,1,8,490.9000,3.2520
41,503.7730,2.34117,1.04083,-0.91350,0.334683,6.25189,0.00000,2.34153,-0.90162,2,2,1,8,486.3570,3.0860
42,256.0420,2.35023,1.04083,-0.62176,0.291882,6.27530,0.00000,2.35147,-0.58178,2,2,1,8,486.3570,3.0860
43,250.1770,2.36026,1.04083,-0.29889,0.323024,5.47281,0.00000,2.36140,-0.26193,2,2,1,8,486.3570,3.0860
44,512.3860,2.37083,1.04083,0.04143,0.340486,6.05670,0.00000,2.37134,0.05791,2,2,1,8,489.3210,3.3990
45,247.8660,2.38003,1.04083,0.33778,0.296490,6.38412,0.00000,2.38128,0.37776,2,2,1,8,489.3210,3.3990
46,258.3150,2.39003,1.04083,0.65970,0.322077,5.55917,0.00000,2.39121,0.69760,2,2,1,8,489.3210,3.3990
47,508.0610,2.40074,1.04083,1.00447,0.344934,6.03894,0.00000,2.40115,1.01745,2,2,1,8,490.6650,3.0880
48,258.7550,2.40984,1.04083,1.29732,0.292990,6.46750,0.00000,2.41108,1.33730,2,2,1,8,490.6650,3.0880
49,252.9880,2.42017,1.04083,1.62982,0.332667,5.49356,0.00000,2.42102,1.65714,2,2,1,8,490.6650,3.0880
50,504.4480,2.43039,1.04083,1.95890,0.329240,6.23749,0.00000,2.43095,1.97699,2,2,1,8,483.6730,3.1540
51,249.3340,2.43965,1.04083,2.25685,0.298093,6.17325,0.00000,2.44089,2.29683,2,2,1,8,483.6730,3.1540
52,253.1710,2.44958,1.04083,2.57670,0.320000,5.58926,0.00000,2.45082,2.61668,2,2,1,8,232.3760,3.0140
53,253.3600,2.45455,1.04083,2.86043,0.283778,6.00000,0.00000,2.45455,2.88236,2,2,1,8,232.3760,3.0140
54,257.6340,2.45644,1.04083,2.82839,0.032095,6.00000,0.00000,2.45667,2.80192,2,2,1,8,232.3760,3.0140
55,495.7430,2.45906,1.04083,2.48193,0.346476,6.18750,0.00000,2.45906,2.48193,2,2,1,8,232.3760,3.0140
56,504.8620,2.46115,1.04083,2.20193,0.280002,6.56250,0.00000,2.46145,2.16194,2,2,1,8,483.5930,3.1330
57,717.8880,2.46370,1.04083,1.85993,0.342009,5.25000,0.00000,2.46384,1.84194,2,2,1,8,483.5930,3.1330
58,523.7640,2.46593,1.04083,1.56195,0.297992,6.41266,0.00000,2.46623,1.52195,2,2,1,8,700.2350,3.0060
59,618.1730,2.46832,1.04083,1.24196,0.320000,5.58734,0.00000,2.46862,1.20196,2,2,1,8,603.7990,2.9360
60,255.9630,2.47074,1.04083,0.91810,0.323870,6.00003,0.00000,2.47101,0.88197,2,2,1,8,603.7990,2.9360
61,245.7550,2.47315,1.04083,0.59557,0.322535,6.07251,0.00000,2.47340,0.56198,2,2,1,8,603.7990,2.9360
