frame,frame_ms,eye_x,eye_y,eye_z,step_m,yaw_step_deg,visual_error_m,body_x,body_z,gc0,gc1,gc2,phys_ticks,proc_ms,phys_proc_ms
0,84.3700,-2.37973,1.92993,-2.36569,0.276833,6.00000,0.00000,-2.35587,-2.33358,1,1,1,8,542.2430,16.4450
1,14.7840,-2.26042,1.48777,-2.20517,0.485284,5.25000,0.00000,-2.23656,-2.17306,1,1,1,5,944.0330,15.2290
2,111.3760,-2.14112,1.04083,-2.04464,0.489649,3.75000,0.00000,-2.11726,-2.01254,2,2,1,5,944.0330,15.2290
3,233.3260,-1.92766,1.04083,-1.75742,0.357859,3.75000,0.00000,-1.92638,-1.75571,2,2,1,8,212.0360,19.1500
4,516.1960,-1.73583,1.04083,-1.49933,0.321573,6.70984,0.00000,-1.73549,-1.49887,2,2,1,8,212.0360,19.1500
5,255.7970,-1.56653,1.04083,-1.27153,0.283828,6.02949,0.00000,-1.54461,-1.24204,2,2,1,8,212.0360,19.1500
6,245.9430,-1.37330,1.04083,-1.01154,0.323924,5.32178,0.00000,-1.35373,-0.98520,2,2,1,8,497.9070,3.6240
7,258.1230,-1.17811,1.04083,-0.74891,0.327231,6.07357,0.00000,-1.16284,-0.72837,2,2,1,8,497.9070,3.6240
8,247.7010,-0.98126,1.04083,-0.48405,0.330000,6.13559,0.00000,-0.97196,-0.47154,2,2,1,8,497.9070,3.6240
9,254.6720,-0.78560,1.04083,-0.22079,0.328000,6.18750,0.00000,-0.78108,-0.21470,2,2,1,8,497.9070,3.6240
10,251.0790,-0.61381,1.04083,0.01036,0.288000,6.15000,0.00000,-0.59020,0.04213,2,2,1,8,236.7330,3.1030
11,524.7920,-0.42317,1.04083,0.26686,0.319586,5.40000,0.00000,-0.39931,0.29897,2,2,1,8,236.7330,3.1030
12,245.5400,-0.23108,1.04083,0.52533,0.322034,5.99223,0.00000,-0.20843,0.55580,2,2,1,8,236.7330,3.1030
13,253.4290,-0.03826,1.04083,0.78476,0.323235,6.03815,0.00000,-0.01755,0.81263,2,2,1,8,500.6080,3.0220
14,252.7650,0.15835,1.04083,1.04930,0.329603,6.06066,0.00000,0.17334,1.06947,2,2,1,8,500.6080,3.0220
15,259.7540,0.35520,1.04083,1.31416,0.330000,6.18005,0.00000,0.36422,1.32630,2,2,1,8,500.6080,3.0220
16,518.5810,0.53124,1.04083,1.55103,0.295128,6.18750,0.00000,0.55510,1.58314,2,2,1,8,500.6080,3.0220
17,501.3250,0.72213,1.04083,1.80787,0.320000,5.53365,0.00000,0.74599,1.83997,2,2,1,8,504.1290,3.0660
18,245.9660,0.91301,1.04083,2.06470,0.320000,6.00000,0.00000,0.93687,2.09680,2,2,1,8,504.1290,3.0660
19,258.0450,1.11223,1.04083,2.33275,0.333979,6.00001,0.00000,1.12775,2.35364,2,2,1,8,236.8980,3.0070
20,502.0640,1.30860,1.04083,2.59697,0.329202,6.26209,0.00000,1.31864,2.61047,2,2,1,8,236.8980,3.0070
